 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  
 371   13990   13381   108          12                 1           4          0             244826  76751     331           
 371   13999   13390   233          33                 0           4          2             461833  148391    324           
 371   14278   13669   109          13                 1           4          0             246749  76751     426           
 371   14339   13730   116          20                 7           4          0             261165  82032     443           
 371   14374   13765   117          21                 6           4          0             262127  81616     452           
 371   14418   13809   232          32                 0           4          2             459911  148391    458           
 371   14429   13820   108          12                 2           4          0             245788  77167     468           
 1030  34663   34054   116          44                 2           2          2             234658  149223    0             
 1030  34706   34097   47           17                 1           2          0             113638  76751     84            
 1030  34712   34103   50           20                 4           2          0             119404  80783     89            
 1030  34717   34108   80           24                 0           2          1             165493  110615    83            
 1030  34719   34110   46           16                 0           2          0             112676  76334     99            
 1030  34730   34121   115          43                 1           2          2             233697  148807    83            
 1030  34803   34194   115          43                 0           2          2             232736  148391    163           
 1030  34828   34219   86           30                 5           2          1             177027  117832    193           
 1030  34845   34236   80           24                 1           2          1             166454  111031    207           
 1030  34855   34246   84           28                 5           2          1             173182  117832    216           
 1030  34877   34268   84           28                 4           2          1             174143  117416    230           
 1030  34903   34294   85           29                 4           2          1             176066  117416    246           
 1030  34908   34299   47           17                 2           2          0             114599  77167     253           
 1030  34913   34304   85           29                 3           2          1             175104  117000    251           
 1030  34935   34326   50           20                 5           2          0             120365  81200     267           
 1030  34944   34335   121          49                 4           2          2             245230  155192    262           
 1030  34958   34349   85           29                 5           2          1             175104  117832    275           
 1030  35007   34398   50           20                 7           2          0             120365  82032     301           
 1030  35046   34437   122          50                 5           2          2             246192  155608    307           
 1043  35069   34460   32           32                 2           1          2             72071   149223    0             
 1030  35083   34474   81           25                 2           2          1             167416  111447    329           
 1043  35101   34492   169          7                  0           6          0             365456  76334     48            
 1043  35102   34493   265          17                 1           6          1             526759  111031    37            
 1043  35117   34508   6            6                  3           2          0             33613   77583     82            
 1043  35117   34508   181          19                 5           6          0             388523  81200     64            
 1043  35131   34522   7            7                  4           2          0             35535   80783     97            
 1043  35131   34522   21           21                 2           1          1             50927   111447    87            
 1043  35132   34523   171          9                  2           6          0             369301  77167     83            
 1043  35147   34538   7            7                  6           2          0             35535   81616     116           
 1043  35148   34539   183          21                 7           6          0             392368  82032     100           
 1043  35158   34549   34           34                 5           1          2             75916   155608    104           
 1043  35163   34554   6            6                  1           2          0             33613   76751     135           
 1043  35164   34555   23           23                 5           1          1             54771   117832    123           
 1043  35178   34569   21           21                 0           1          1             50927   110615    141           
 1043  35193   34584   368          24                 5           6          2             723573  155608    114           
 1043  35201   34592   352          8                  0           6          2             692817  148391    127           
