 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 606   21536   1    1        0      0.162287503481   965.543212891  20      0       5            834     1090    1169    1432    17570  
 613   21760   1    1        0      0.803681790829   1019.60479736  20      1       2            4557    6114    0       8877    2171   
 632   22368   1    1        0      0.858280003071   1011.30340576  20      0       2            4942    6599    0       9519    19544  
 635   22464   1    1        0      0.506538927555   931.041442871  20      0       5            2695    3600    3971    5209    19091  
 644   22752   1    1        0      0.123794294894   596.975341797  20      1       5            644     863     969     1296    21463  
 658   23200   1    1        0      0.860602855682   824.361633301  20      0       5            4953    6584    7217    9455    715    
 681   23936   1    1        0      0.297484785318   871.830993652  20      1       5            1547    2073    2298    3038    4867   
 695   24384   1    1        0      0.162216052413   889.047363281  20      1       5            841     1116    1222    1636    7829   
 697   24448   1    1        0      0.459627062082   724.76763916   20      0       1            2426    3187    3479    0       13170  
 723   25280   1    1        0      0.540473163128   973.835083008  20      1       5            2901    3892    4276    5631    21086  
 752   26208   1    1        0      0.0253058969975  924.475341797  20      1       4            0       174     200     280     13018  
 788   27360   1    1        0      0.107158653438   660.36907959   20      1       5            552     783     863     1181    2714   
 791   27456   1    1        0      0.832563459873   867.535522461  20      0       5            4755    6364    6952    9217    16582  
 794   27552   1    1        0      0.770443201065   1002.76019287  20      1       5            4335    5835    6408    8639    3936   
 833   28800   1    1        0      0.81117773056    737.704956055  20      0       5            4608    6144    6731    8809    24712  
 840   29024   1    1        0      1.00686144829    824.425720215  20      1       3            6049    0       8861    11762   11251  
 855   29504   1    1        0      1.03883755207    763.730407715  20      0       3            6306    0       9291    12132   4658   
 861   29696   1    1        0      0.592104434967   555.685668945  20      0       2            3209    4276    0       6019    3657   
 867   29888   1    1        0      0.829482316971   948.601013184  20      0       5            4747    6320    6908    9030    11701  
 904   31072   1    1        0      0.0330004878342  696.440063477  20      0       4            0       227     227     212     17159  
 925   31744   1    1        0      0.942926585674   703.223999023  20      1       2            5556    7452    0       10863   4215   
 946   32416   1    1        0      0.993736624718   703.049865723  20      0       5            5939    7913    8618    11287   2146   
