 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 1253  41295   5            5                  2           2          0             -32653   77167     156           
 1253  41312   6            6                  5           2          0             -34575   81200     171           
 1253  41321   9            9                  0           1          1             -43221   110615    171           
 1253  41336   10           10                 5           1          1             -45143   117832    182           
 1253  41429   6            6                  4           2          0             -33614   80783     251           
 1253  41441   9            9                  4           1          1             -44182   117416    252           
 1253  41456   6            6                  3           2          0             -33614   77583     266           
 1253  41508   10           10                 3           1          1             -45143   117000    286           
 1253  41720   8            8                  1           1          1             -42260   111031    371           
 1253  41740   6            6                  6           2          0             -33614   81616     380           
 1253  41791   6            6                  1           2          0             -33614   76751     397           
 1438  47108   143          11                 0           5          0             -314266  76334     23            
 1438  47108   143          11                 0           5          0             -314266  76334     23            
 1438  47126   153          21                 4           5          0             -332528  80783     42            
 1438  47126   153          21                 4           5          0             -332528  80783     42            
 1438  47169   297          49                 4           5          2             -633071  155192    55            
 1438  47169   297          49                 4           5          2             -633071  155192    55            
 1438  47180   146          14                 3           5          0             -319072  77583     106           
 1438  47180   146          14                 3           5          0             -319072  77583     106           
 1438  47184   298          50                 5           5          2             -634032  155608    80            
 1438  47184   298          50                 5           5          2             -634032  155608    80            
 1438  47200   155          23                 7           5          0             -337333  82032     127           
 1438  47200   155          23                 7           5          0             -337333  82032     127           
 1438  47204   234          34                 3           5          1             -480397  117000    115           
 1438  47204   234          34                 3           5          1             -480397  117000    115           
 1438  47212   222          22                 2           5          1             -457330  111447    126           
 1438  47212   222          22                 2           5          1             -457330  111447    126           
 1438  47216   155          23                 6           5          0             -336372  81616     144           
 1438  47216   155          23                 6           5          0             -336372  81616     144           
 1438  47220   285          37                 2           5          2             -609043  149223    117           
 1438  47220   285          37                 2           5          2             -609043  149223    117           
 1438  47230   221          21                 1           5          1             -456369  111031    146           
 1438  47230   221          21                 1           5          1             -456369  111031    146           
