BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
1602,53408,1,1,0,0.8245087265968323,724.6810302734375,20,0,5,4703,6320,6908,9081,139
1688,56160,1,1,0,0.2091553509235382,927.51708984375,20,1,5,1083,1461,1620,2180,4
1832,60768,1,1,0,0.8173458576202393,759.3798217773438,20,1,5,4659,6246,6820,9081,84
1837,60928,1,1,0,0.6032791137695312,768.0719604492188,20,1,5,3253,4369,4781,6408,47
1930,63904,1,1,0,0.5103658437728882,973.9428100585938,20,0,5,2725,3653,3998,5209,34
1944,64352,1,1,0,0.8007788062095642,685.990966796875,20,0,5,4522,6041,6584,8622,136
1952,64608,1,1,0,0.7704432010650635,1002.7601928710938,20,1,5,4335,5835,6408,8639,49
1961,64896,1,1,0,0.48723629117012024,850.400146484375,20,1,5,2580,3479,3892,5209,29
1967,65088,1,1,0,0.20486244559288025,969.6809692382812,20,0,5,1047,1395,1540,2010,39
1977,65408,1,1,0,0.48698222637176514,605.2138061523438,20,1,5,2591,3466,3839,5050,97
1987,65728,1,1,0,1.0076204538345337,820.12744140625,20,1,5,6049,8110,8891,11762,89
2010,66464,1,1,0,0.2645823657512665,571.725830078125,20,1,5,1364,1874,2059,2766,69
2019,66752,1,1,0,0.17511332035064697,871.9053955078125,20,1,5,907,1209,1342,1789,145
2047,67648,1,1,0,0.7378771305084229,660.3125,20,1,5,4115,5497,6055,8087,13
2122,70048,1,1,0,0.8109187483787537,703.1741333007812,20,0,5,4601,6173,6761,8877,131
2144,70752,1,1,0,0.40440261363983154,990.714599609375,20,1,5,2121,2843,3134,4122,91
2148,70880,1,1,0,0.9177301526069641,841.8023681640625,20,1,3,5365,0,7958,10488,22
2187,72128,1,1,0,0.10286715626716614,559.5753784179688,20,0,5,537,704,757,926,74
2225,73344,1,1,0,0.6355317234992981,758.5608520507812,20,1,4,0,4649,5099,6833,98
2250,74144,1,1,0,0.6356216073036194,687.5499267578125,20,0,5,3478,4569,5007,6544,70
2273,74880,1,1,0,0.860602855682373,824.3616333007812,20,0,5,4953,6584,7217,9455,7
2323,76480,1,1,0,0.3429395258426666,833.0396118164062,20,0,5,1797,2404,2642,3442,21
2338,76960,1,1,0,0.5221808552742004,609.3047485351562,20,0,5,2791,3706,4051,5280,150
2370,77984,1,1,0,0.3469862937927246,755.0709838867188,20,0,5,1797,2377,2616,3378,146
2427,79808,1,1,0,0.2514369785785675,914.7742309570312,20,0,5,1296,1726,1900,2494,143
2467,81088,1,1,0,0.9429265856742859,703.2239990234375,20,1,2,5556,7452,0,10863,53
2478,81440,1,1,0,0.25137901306152344,656.0521850585938,20,1,5,1311,1752,1953,2562,76
2481,81536,1,1,0,0.7232574224472046,763.6963500976562,20,1,5,4027,5438,5967,7951,37
2483,81600,1,1,0,0.8242560029029846,613.4857177734375,20,1,5,4703,6320,6923,9251,25
2575,84544,1,1,0,0.973434329032898,643.0350952148438,20,1,2,5783,7746,0,11340,40
2616,85856,1,1,0,0.7308663129806519,673.1818237304688,20,1,5,4071,5467,5997,7934,88
2646,86816,1,1,0,0.45962706208229065,724.7676391601562,20,0,1,2426,3187,3479,0,137
2659,87232,1,1,0,0.4984217882156372,755.07958984375,20,1,5,2659,3505,3892,5174,45
2685,88064,1,1,0,0.8043531179428101,789.737548828125,20,1,5,4556,6129,6702,8928,11
2687,88128,1,1,0,0.14508797228336334,686.0344848632812,20,0,5,739,984,1063,1364,82
2690,88224,1,1,0,0.5593687295913696,858.9639282226562,20,1,5,2996,4011,4384,5825,134
2716,89056,1,1,0,0.6114906072616577,680.3464965820312,20,1,4,0,4437,4901,6578,87
2811,92096,1,1,0,0.39611831307411194,673.14697265625,20,0,5,2077,2724,2975,3816,130
2847,93248,1,1,0,0.12007537484169006,677.4717407226562,20,1,5,611,836,942,1296,81
2856,93536,1,1,0,1.0518412590026855,807.1149291992188,20,0,3,6409,0,9334,12079,65
2860,93664,1,1,0,0.97524094581604,998.9300537109375,20,1,3,5814,0,8558,11426,108
2864,93792,1,1,0,0.0726412683725357,863.2654418945312,20,1,5,383,545,624,926,120
2908,95200,1,1,0,0.30603471398353577,729.0858154296875,20,0,5,1591,2112,2324,3038,18
2957,96768,1,1,0,0.45157724618911743,798.3992919921875,20,1,5,2385,3214,3574,4786,154
2958,96800,1,1,0,0.8112313151359558,781.0587768554688,20,1,5,4608,6173,6761,8996,14
2970,97184,1,1,0,0.8036817908287048,1019.6047973632812,20,1,2,4557,6114,0,8877,26
2999,98112,1,1,0,0.811427891254425,559.2777709960938,20,0,5,4615,6173,6731,8826,38
3065,100224,1,1,0,0.06396006047725677,684.824951171875,20,1,4,0,439,492,671,58
3073,100480,1,1,0,0.11151296645402908,576.0587158203125,20,0,5,581,757,810,994,31
3126,102176,1,1,0,0.20909170806407928,559.5863037109375,20,1,2,1076,1434,0,2112,19
3149,102912,1,1,0,0.9782091379165649,759.4306640625,20,0,5,5821,7777,8482,11093,57
3177,103808,1,1,0,0.5406356453895569,768.057861328125,20,1,5,2901,3892,4263,5649,109
3199,104512,1,1,0,0.21771299839019775,969.7911376953125,20,0,5,1127,1501,1646,2146,95
3286,107296,1,1,0,0.1963014304637909,927.4380493164062,20,1,1,1014,1381,1540,0,105
3316,108256,1,1,0,0.2260323464870453,927.47705078125,20,1,5,1171,1580,1779,2409,93
3382,110368,1,1,0,0.18787209689617157,746.4003295898438,20,1,5,966,1302,1408,1908,48
3392,110688,1,1,0,0.3864130675792694,547.458251953125,20,0,2,2019,2684,0,3918,67
3401,110976,1,1,0,0.3960435390472412,678.0284423828125,20,1,2,2085,2803,0,4190,114
3443,112320,1,1,0,0.4515415132045746,626.4086303710938,20,1,5,2385,3201,3505,4733,16
3444,112352,1,1,0,0.3798597455024719,720.4161987304688,20,1,5,1989,2642,2896,3833,107
3450,112544,1,1,0,0.8093254566192627,807.030029296875,20,0,5,4593,6099,6643,8690,20
3467,113088,1,1,0,0.9961368441581726,820.1163330078125,20,0,5,5961,7989,8694,11375,133
3513,114560,1,1,0,0.5743297338485718,961.3304443359375,20,1,5,3099,4157,4556,6019,1
3549,115712,1,1,0,0.2808627188205719,724.816650390625,20,0,5,1452,1927,2112,2732,66
3561,116096,1,1,0,0.06823677569627762,794.0571899414062,20,0,5,347,465,492,620,83
3566,116256,1,1,0,0.7839646339416504,850.300048828125,20,0,5,4423,5894,6423,8486,144
3571,116416,1,1,0,0.7576259970664978,660.38427734375,20,0,5,4247,5644,6158,8053,42
3575,116544,1,1,0,0.8041940927505493,571.830322265625,20,0,5,4556,6085,6643,8826,128
3592,117088,1,1,0,0.3309552073478699,703.1508178710938,20,1,5,1723,2298,2536,3361,117
3601,117376,1,1,0,0.9516028165817261,910.433837890625,20,1,2,5622,7525,0,10969,30
3615,117824,1,1,0,0.48240435123443604,802.7177734375,20,1,5,2554,3426,3786,5050,112
3617,117888,1,1,0,0.5373807549476624,609.2974243164062,20,0,5,2871,3839,4210,5454,62
3650,118944,1,1,0,0.47176074981689453,811.4334106445312,20,0,5,2495,3320,3653,4786,68
3662,119328,1,1,0,0.5743268728256226,931.7623291015625,20,0,5,3099,4157,4530,5913,129
3670,119584,1,1,0,0.8459568619728088,893.41650390625,20,0,2,4850,6423,0,9166,92
3691,120256,1,1,0,0.9550163149833679,833.0704345703125,20,1,5,5644,7555,8352,11040,41
3719,121152,1,1,0,0.427771657705307,768.0527954101562,20,0,5,2261,2949,3240,4156,124
3733,121600,1,1,0,0.39611002802848816,914.736572265625,20,1,5,2070,2763,3042,4054,75
3742,121888,1,1,0,0.8276620507240295,750.67578125,20,1,5,4711,6291,6893,9183,23
3743,121920,1,1,0,0.6739649772644043,669.91015625,20,0,5,3709,4887,5364,6952,28
3753,122240,1,1,0,0.4356011152267456,768.0732421875,20,0,5,2297,3028,3320,4292,132
3757,122368,1,1,0,0.8992801308631897,617.6857299804688,20,0,5,5219,6967,7555,9825,127
3780,123104,1,1,0,1.0479122400283813,876.22998046875,20,0,5,6372,8436,9320,12079,104
3789,123392,1,1,0,0.7349632382392883,815.762939453125,20,0,5,4100,5467,5967,7781,5
3850,125344,1,1,0,0.592104434967041,555.6856689453125,20,0,2,3209,4276,0,6019,43
3910,127264,1,1,0,0.11146415770053864,643.3444213867188,20,0,5,567,757,836,1096,152
3923,127680,1,1,0,0.5513975620269775,909.7138061523438,20,1,5,2967,3958,4356,5737,140
3933,128000,1,1,0,0.19219540059566498,994.7855224609375,20,0,2,981,1249,0,1704,80
3953,128640,2,1,0,0.2976813018321991,609.48486328125,20,1,5,1547,2086,2298,3072,2
3953,128640,2,1,1,0.5021063089370728,935.8410034179688,20,0,5,2681,3574,3892,5103,99
3973,129280,1,1,0,1.0365036725997925,918.9620361328125,20,0,5,6284,8383,9206,11956,125
4009,130432,1,1,0,0.5919187068939209,1015.6318969726562,20,1,2,3187,4316,0,6340,103
4013,130560,1,1,0,1.0068614482879639,824.4257202148438,20,1,3,6049,0,8861,11762,110
4014,130592,1,1,0,0.7805042862892151,880.407958984375,20,0,5,4401,5864,6423,8380,10
4024,130912,1,1,0,0.6743700504302979,855.6424560546875,20,0,5,3709,4954,5438,7156,6
4061,132096,1,1,0,0.31001338362693787,940.17431640625,20,0,5,1599,2139,2351,3004,96
4068,132320,1,1,0,0.06396006047725677,669.3809814453125,20,0,4,0,439,465,620,52
4095,133184,1,1,0,0.28114309906959534,871.9214477539062,20,0,5,1445,1953,2139,2800,100
