BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
2250,74144,1,1,0,0.635622,687.549927,20,0,5,3478,4569,5007,6544,70
2273,74880,1,1,0,0.860603,824.361633,20,0,5,4953,6584,7217,9455,7
2323,76480,1,1,0,0.34294,833.039612,20,0,5,1797,2404,2642,3442,21
2338,76960,1,1,0,0.522181,609.304749,20,0,5,2791,3706,4051,5280,150
2370,77984,1,1,0,0.346986,755.070984,20,0,5,1797,2377,2616,3378,146
2427,79808,1,1,0,0.251437,914.774231,20,0,5,1296,1726,1900,2494,143
2467,81088,1,1,0,0.942927,703.223999,20,1,2,5556,7452,0,10863,53
2478,81440,1,1,0,0.251379,656.052185,20,1,5,1311,1752,1953,2562,76
2481,81536,1,1,0,0.723257,763.69635,20,1,5,4027,5438,5967,7951,37
2483,81600,1,1,0,0.824256,613.485718,20,1,5,4703,6320,6923,9251,25
2575,84544,1,1,0,0.973434,643.035095,20,1,2,5783,7746,0,11340,40
2616,85856,1,1,0,0.730866,673.181824,20,1,5,4071,5467,5997,7934,88
2646,86816,1,1,0,0.459627,724.767639,20,0,1,2426,3187,3479,0,137
2659,87232,1,1,0,0.498422,755.07959,20,1,5,2659,3505,3892,5174,45
2685,88064,1,1,0,0.804353,789.737549,20,1,5,4556,6129,6702,8928,11
2687,88128,1,1,0,0.145088,686.034485,20,0,5,739,984,1063,1364,82
2690,88224,1,1,0,0.559369,858.963928,20,1,5,2996,4011,4384,5825,134
2716,89056,1,1,0,0.611491,680.346497,20,1,4,0,4437,4901,6578,87
2811,92096,1,1,0,0.396118,673.146973,20,0,5,2077,2724,2975,3816,130
2847,93248,1,1,0,0.120075,677.471741,20,1,5,611,836,942,1296,81
2856,93536,1,1,0,1.051841,807.114929,20,0,3,6409,0,9334,12079,65
2860,93664,1,1,0,0.975241,998.930054,20,1,3,5814,0,8558,11426,108
2864,93792,1,1,0,0.072641,863.265442,20,1,5,383,545,624,926,120
2908,95200,1,1,0,0.306035,729.085815,20,0,5,1591,2112,2324,3038,18
2957,96768,1,1,0,0.451577,798.399292,20,1,5,2385,3214,3574,4786,154
2958,96800,1,1,0,0.811231,781.058777,20,1,5,4608,6173,6761,8996,14
2970,97184,1,1,0,0.803682,1019.604797,20,1,2,4557,6114,0,8877,26
2999,98112,1,1,0,0.811428,559.277771,20,0,5,4615,6173,6731,8826,38
3065,100224,1,1,0,0.06396,684.824951,20,1,4,0,439,492,671,58
3073,100480,1,1,0,0.111513,576.058716,20,0,5,581,757,810,994,31
3126,102176,1,1,0,0.209092,559.586304,20,1,2,1076,1434,0,2112,19
3149,102912,1,1,0,0.978209,759.430664,20,0,5,5821,7777,8482,11093,57
3177,103808,1,1,0,0.540636,768.057861,20,1,5,2901,3892,4263,5649,109
3199,104512,1,1,0,0.217713,969.791138,20,0,5,1127,1501,1646,2146,95
3286,107296,1,1,0,0.196301,927.438049,20,1,1,1014,1381,1540,0,105
3316,108256,1,1,0,0.226032,927.477051,20,1,5,1171,1580,1779,2409,93
3382,110368,1,1,0,0.187872,746.40033,20,1,5,966,1302,1408,1908,48
3392,110688,1,1,0,0.386413,547.458252,20,0,2,2019,2684,0,3918,67
3401,110976,1,1,0,0.396044,678.028442,20,1,2,2085,2803,0,4190,114
3443,112320,1,1,0,0.451542,626.40863,20,1,5,2385,3201,3505,4733,16
3444,112352,1,1,0,0.37986,720.416199,20,1,5,1989,2642,2896,3833,107
3450,112544,1,1,0,0.809325,807.030029,20,0,5,4593,6099,6643,8690,20
3467,113088,1,1,0,0.996137,820.116333,20,0,5,5961,7989,8694,11375,133
3513,114560,1,1,0,0.57433,961.330444,20,1,5,3099,4157,4556,6019,1
3549,115712,1,1,0,0.280863,724.81665,20,0,5,1452,1927,2112,2732,66
3561,116096,1,1,0,0.068237,794.05719,20,0,5,347,465,492,620,83
3566,116256,1,1,0,0.783965,850.300049,20,0,5,4423,5894,6423,8486,144
3571,116416,1,1,0,0.757626,660.384277,20,0,5,4247,5644,6158,8053,42
3575,116544,1,1,0,0.804194,571.830322,20,0,5,4556,6085,6643,8826,128
3592,117088,1,1,0,0.330955,703.150818,20,1,5,1723,2298,2536,3361,117
3601,117376,1,1,0,0.951603,910.433838,20,1,2,5622,7525,0,10969,30
3615,117824,1,1,0,0.482404,802.717773,20,1,5,2554,3426,3786,5050,112
3617,117888,1,1,0,0.537381,609.297424,20,0,5,2871,3839,4210,5454,62
3650,118944,1,1,0,0.471761,811.433411,20,0,5,2495,3320,3653,4786,68
3662,119328,1,1,0,0.574327,931.762329,20,0,5,3099,4157,4530,5913,129
3670,119584,1,1,0,0.845957,893.416504,20,0,2,4850,6423,0,9166,92
3691,120256,1,1,0,0.955016,833.070435,20,1,5,5644,7555,8352,11040,41
3719,121152,1,1,0,0.427772,768.052795,20,0,5,2261,2949,3240,4156,124
3733,121600,1,1,0,0.39611,914.736572,20,1,5,2070,2763,3042,4054,75
3742,121888,1,1,0,0.827662,750.675781,20,1,5,4711,6291,6893,9183,23
3743,121920,1,1,0,0.673965,669.910156,20,0,5,3709,4887,5364,6952,28
3753,122240,1,1,0,0.435601,768.073242,20,0,5,2297,3028,3320,4292,132
3757,122368,1,1,0,0.89928,617.68573,20,0,5,5219,6967,7555,9825,127
3780,123104,1,1,0,1.047912,876.22998,20,0,5,6372,8436,9320,12079,104
3789,123392,1,1,0,0.734963,815.762939,20,0,5,4100,5467,5967,7781,5
3850,125344,1,1,0,0.592104,555.685669,20,0,2,3209,4276,0,6019,43
3910,127264,1,1,0,0.111464,643.344421,20,0,5,567,757,836,1096,152
3923,127680,1,1,0,0.551398,909.713806,20,1,5,2967,3958,4356,5737,140
3933,128000,1,1,0,0.192195,994.785522,20,0,2,981,1249,0,1704,80
3953,128640,2,1,0,0.297681,609.484863,20,1,5,1547,2086,2298,3072,2
3953,128640,2,1,1,0.502106,935.841003,20,0,5,2681,3574,3892,5103,99
3973,129280,1,1,0,1.036504,918.962036,20,0,5,6284,8383,9206,11956,125
4009,130432,1,1,0,0.591919,1015.631897,20,1,2,3187,4316,0,6340,103
4013,130560,1,1,0,1.006861,824.42572,20,1,3,6049,0,8861,11762,110
4014,130592,1,1,0,0.780504,880.407959,20,0,5,4401,5864,6423,8380,10
4024,130912,1,1,0,0.67437,855.642456,20,0,5,3709,4954,5438,7156,6
4061,132096,1,1,0,0.310013,940.174316,20,0,5,1599,2139,2351,3004,96
4068,132320,1,1,0,0.06396,669.380981,20,0,4,0,439,465,620,52
4095,133184,1,1,0,0.281143,871.921448,20,0,5,1445,1953,2139,2800,100
