# --------------------------
# TS:0123456789
# Side:C Sector:3 Area:Barrel
# --------------------------
BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
2148,70880,1,1,0,-0.7550399303436279,600.9624633789062,20,0,5,-4225,-5673,-6202,-8257,22
2187,72128,1,1,0,-0.9748162627220154,626.3641357421875,20,0,5,-5799,-7822,-8573,-11444,74
2225,73344,1,1,0,-0.2727715075016022,639.00634765625,20,1,5,-1415,-1874,-2033,-2630,98
2250,74144,1,1,0,-0.18273930251598358,940.1683959960938,20,1,5,-937,-1229,-1320,-1709,70
2273,74880,1,1,0,-0.42202985286712646,998.9243774414062,20,1,5,-2228,-2949,-3240,-4190,7
2323,76480,1,1,0,-0.8771253228187561,850.3770141601562,20,0,5,-5077,-6820,-7496,-9944,21
2467,81088,1,1,0,-0.840312123298645,600.8267211914062,20,0,5,-4813,-6511,-7114,-9502,53
2478,81440,1,1,0,-0.3003036081790924,622.0740966796875,20,1,5,-1555,-2059,-2245,-2834,76
2481,81536,1,1,0,-0.7487792372703552,846.1041870117188,20,1,5,-4195,-5570,-6085,-7866,37
2483,81600,1,1,0,-0.4945219159126282,923.2506713867188,20,0,5,-2636,-3505,-3892,-5156,25
2575,84544,1,1,0,-1.0043704509735107,711.7456665039062,20,0,2,-6027,-8080,0,-11726,40
2616,85856,1,1,0,-0.8680094480514526,694.5316162109375,20,0,5,-5004,-6731,-7364,-9757,88
2659,87232,1,1,0,-0.8341796398162842,802.7686157226562,20,1,5,-4769,-6349,-6908,-9081,45
2685,88064,1,1,0,-0.16228963434696198,815.7424926757812,20,1,5,-841,-1111,-1229,-1591,11
2687,88128,1,1,0,-0.17075665295124054,592.7852172851562,20,0,5,-871,-1138,-1259,-1709,82
2716,89056,1,1,0,-0.8463115096092224,893.4717407226562,20,0,5,-4857,-6511,-7114,-9453,87
2847,93248,1,1,0,-0.09853441268205643,617.9598999023438,20,1,5,-501,-660,-721,-898,81
2856,93536,1,1,0,-0.27672094106674194,833.0250854492188,20,0,5,-1430,-1927,-2112,-2834,65
2860,93664,1,1,0,-0.10287398099899292,601.10693359375,20,1,5,-537,-721,-781,-989,108
2864,93792,1,1,0,-0.2513699233531952,742.0694580078125,20,1,5,-1311,-1744,-1927,-2494,120
