10	0	3.30238	0.367115	-0.000534351	0	0	0	0	0
10	1	3.30238	0.367115	-0.000534351	1.33306	0.0193695	-25.2563	0.0422686	-0.689622
10	2	3.30238	0.367115	-0.000534351	2.01023	0.250323	-52.2091	-0.0156994	-0.196188
10	3	3.30238	0.367115	-0.000534351	2.013	-0.077646	-75.886	0.303583	-1.60439
10	4	3.30238	0.367115	-0.000534351	2.29462	0.627291	-96.2681	0.711467	-6.25242
10	5	3.30238	0.367115	-0.000534351	2.59263	-1.3366	-150.037	-0.463259	3.11545
10	6	3.30238	0.367115	-0.000534351	1.87782	1.42818	-168.883	0.987695	-8.14517
10	7	3.30238	0.367115	-0.000534351	1.75789	3.62009	-213.98	-1.24084	5.74025
10	8	3.30238	0.367115	-0.000534351	0.0383927	3.29441	-113.998	-0.464189	1.14866
10	9	3.30238	0.367115	-0.000534351	1.43108	2.57205	-32.2756	2.02403	4.05644
130	0	2.66965	0.778776	-0.00284638	0	0	0	0	0
130	1	2.66965	0.778776	-0.00284638	1.52963	0.583426	-22.7588	0.199094	-0.452674
130	2	2.66965	0.778776	-0.00284638	2.6343	0.60309	-51.5041	0.121258	0.0902765
130	3	2.66965	0.778776	-0.00284638	3.39746	0.708106	-59.778	0.347225	-1.26872
130	4	2.66965	0.778776	-0.00284638	3.22912	1.89048	-46.1505	1.39735	-5.79909
130	5	2.66965	0.778776	-0.00284638	4.16446	1.47706	-93.1492	-1.00922	2.18271
130	6	2.66965	0.778776	-0.00284638	3.29603	-1.42514	-78.1231	0.522931	-6.99944
130	7	2.66965	0.778776	-0.00284638	3.91361	4.61425	-153.793	0.347871	-3.06925
130	8	2.66965	0.778776	-0.00284638	2.27152	-2.20826	-158.457	1.0629	-3.56315
130	9	2.66965	0.778776	-0.00284638	0.435348	-4.71838	-54.5626	1.4036	-5.23832
138	0	2.49659	431.837	-608.572	0	0	0	0	0
138	1	2.49659	431.837	-608.572	0.79773	0.364497	-33.0394	1.94393	-8.96715
138	2	2.49659	431.837	-608.572	1.17426	0.683576	-47.8436	2.03278	-8.48413
138	3	2.49659	431.837	-608.572	1.62566	-1.31473	-68.1798	0.312594	-1.68646
138	4	2.49659	431.837	-608.572	2.35902	0.0700273	-98.9751	-2.77228	10.6699
138	5	2.49659	431.837	-608.572	2.39563	-7.87438	-150.07	4.00939	-15.1421
138	6	2.49659	431.837	-608.572	2.20224	-3.94212	-141.639	-0.234954	-0.245612
138	7	2.49659	431.837	-608.572	1.54431	-3.18406	-170.1	4.00086	-14.2089
138	8	2.49659	431.837	-608.572	1.41234	0.280879	-199.123	-9.70146	38.9869
138	9	2.49659	431.837	-608.572	1.38871	4.18715	-117.338	-0.334857	1.20761
146	0	1.92897	472.178	-827.467	0	0	0	0	0
146	1	1.92897	472.178	-827.467	0.509542	0.0431336	-28.347	-0.184901	0.435673
146	2	1.92897	472.178	-827.467	1.266	-0.119046	-48.094	0.988638	-2.78682
146	3	1.92897	472.178	-827.467	2.01889	-0.13238	-74.7811	1.04038	-2.95956
146	4	1.92897	472.178	-827.467	2.51484	-0.420787	-92.4492	1.56318	-4.53902
146	5	1.92897	472.178	-827.467	2.83437	-0.817218	-121.354	2.31025	-6.67815
146	6	1.92897	472.178	-827.467	2.71431	-0.12887	-146.195	3.38458	-9.59689
146	7	1.92897	472.178	-827.467	2.48049	-0.0301493	-172.972	4.02891	-11.1887
146	8	1.92897	472.178	-827.467	1.51464	-0.897183	-174.968	4.05659	-11.3055
146	9	1.92897	472.178	-827.467	1.07764	-0.931338	-125.877	3.91839	-11.6456
147	0	2.10794	453.655	-558.429	0	0	0	0	0
147	1	2.10794	453.655	-558.429	0.567451	0.999334	-20.6476	1.63809	-3.47508
147	2	2.10794	453.655	-558.429	1.1724	0.262006	-43.9247	6.1135	-12.9855
147	3	2.10794	453.655	-558.429	1.6029	1.1997	-64.696	-13.8148	30.0851
147	4	2.10794	453.655	-558.429	2.58726	-1.38984	-91.2516	-14.0017	29.6823
147	5	2.10794	453.655	-558.429	2.96754	1.36918	-129.784	-13.9888	29.7101
147	6	2.10794	453.655	-558.429	3.40868	1.92919	-193.932	-13.667	30.4034
147	7	2.10794	453.655	-558.429	0	0	0	0	0
147	8	2.10794	453.655	-558.429	0	0	0	0	0
147	9	2.10794	453.655	-558.429	0	0	0	0	0
18	0	1.96926	0.415101	-0.000985947	0	0	0	0	0
18	1	1.96926	0.415101	-0.000985947	0.737007	0.183646	-36.596	-0.444931	1.02073
18	2	1.96926	0.415101	-0.000985947	1.40016	-0.754262	-60.0945	0.153493	-0.946622
18	3	1.96926	0.415101	-0.000985947	2.10509	0.673185	-115.06	0.45171	-2.05141
18	4	1.96926	0.415101	-0.000985947	2.36799	-5.79397	-146.335	2.11896	-5.02842
18	5	1.96926	0.415101	-0.000985947	1.9055	-8.21234	-210.175	2.96073	-8.29305
18	6	1.96926	0.415101	-0.000985947	-0.0249437	9.17713	-3.70122	11.227	-31.9779
18	7	1.96926	0.415101	-0.000985947	-1.41718	-5.16805	193.366	-0.533605	0.426838
18	8	1.96926	0.415101	-0.000985947	-2.16842	20.5566	190.709	-1.50782	5.25134
18	9	1.96926	0.415101	-0.000985947	0	0	0	0	0
19	0	1.51808	0.430932	-0.00103195	0	0	0	0	0
19	1	1.51808	0.430932	-0.00103195	0.131139	1.62977	-23.6203	15.194	-32.2929
19	2	1.51808	0.430932	-0.00103195	1.33471	-3.58297	-55.8688	1.52019	-4.659
19	3	1.51808	0.430932	-0.00103195	2.99213	5.40721	-87.929	36.5423	-76.9228
