dv,slcid,slid,bcid,segpos,segangle,segquality,chamber_id,chamber_ieta
1,0,0,48,8171,5828,1,3,1
1,1,0,48,8171,5828,1,3,1
1,0,0,2198,10727,5625,1,3,1
1,1,0,2198,10723,5633,1,3,1
1,0,0,1598,19579,5218,1,3,2
1,0,0,1248,36537,4230,1,3,3
1,0,0,2348,52196,3425,1,3,5
1,1,0,2348,52196,3425,1,3,5
1,0,0,598,25659,4737,1,3,2
1,1,0,598,25658,4738,1,3,2
1,0,0,3398,43137,3864,1,3,4
1,0,0,3198,59288,3195,1,3,5
1,1,0,3198,59288,3195,1,3,5
1,0,0,3198,61825,3010,1,3,6
1,0,0,598,9810,5676,1,3,1
1,0,0,2598,7746,5862,1,3,1
1,0,0,2848,17069,5128,1,3,2
1,0,0,1598,28624,4461,1,3,3
1,0,0,3148,13296,5595,1,3,1
1,0,0,3548,28473,4611,1,3,3
1,1,0,3548,28475,4609,1,3,3
1,0,0,2048,36382,4005,1,3,3
1,0,0,3548,32046,4482,1,3,3
1,0,0,1898,66256,2959,1,3,6
1,1,0,1898,66257,2949,1,3,6
1,0,0,2148,44555,3759,1,3,4
1,1,0,2148,44555,3759,1,3,4
1,0,0,3298,32156,4314,1,3,3
1,1,0,3298,32155,4314,1,3,3
1,0,0,1098,35991,4220,1,3,3
1,0,0,1498,48873,3650,1,3,4
1,0,0,1948,24565,4860,1,3,2
1,0,0,3348,8631,5957,1,3,1
1,0,0,248,46539,3738,1,3,4
1,0,0,3298,61683,3005,1,3,6
1,1,0,3298,61693,3004,1,3,5
1,0,0,3548,32741,4401,1,3,3
1,0,0,2698,41566,3904,1,3,3
1,1,0,2698,41570,3906,1,3,3
1,0,0,48,65724,2999,1,3,6
1,0,0,148,65808,2888,1,3,6
1,0,0,2298,54131,3405,1,3,5
1,0,0,1398,28546,4511,1,3,3
1,1,0,1398,28546,4512,1,3,3
1,0,0,1598,15754,5383,1,3,2
1,1,0,1598,15754,5384,1,3,2
1,0,0,598,48661,3494,1,3,4
1,1,0,598,48661,3494,1,3,4
1,0,0,2198,12126,5604,1,3,1
1,1,0,2198,12128,5597,1,3,1
1,0,0,98,42992,3783,1,3,4
1,1,0,98,42987,3787,1,3,4
1,0,0,848,67475,2824,1,3,6
1,0,0,298,18300,5143,1,3,2
1,1,0,298,18299,5143,1,3,2
1,0,0,1948,37074,4028,1,3,3
1,0,0,3248,17635,5140,1,3,2
1,0,0,3398,34206,4186,1,3,3
1,1,0,3398,34148,4293,1,3,3
1,0,0,1198,45695,3606,1,3,4
