dv,slcid,slid,bcid,segpos,segangle,segquality,chamber_id,chamber_ieta
1,0,0,48,11069,5798,1,5,1
1,1,0,48,11069,5798,1,5,1
1,0,0,2198,14557,5593,1,5,1
1,1,0,2198,14557,5592,1,5,1
1,0,0,1598,25169,5286,1,5,2
1,0,0,1248,47479,4325,1,5,3
1,0,0,2348,69168,3450,1,5,5
1,1,0,2348,69169,3450,1,5,5
1,0,0,598,33866,4771,1,5,2
1,1,0,598,33867,4770,1,5,2
1,0,0,3398,56641,3916,1,5,4
1,0,0,3198,78269,3219,1,5,5
1,1,0,3198,78299,3189,1,5,5
1,0,0,3198,82915,2980,1,5,5
1,0,0,598,13439,5649,1,5,1
1,0,0,2598,10453,5840,1,5,1
1,0,0,2848,23524,5055,1,5,2
1,0,0,1598,37633,4611,1,5,3
1,0,0,3148,17148,5621,1,5,1
1,0,0,3548,37277,4678,1,5,3
1,1,0,3548,37277,4679,1,5,3
1,0,0,2048,49486,3913,1,5,3
1,0,0,3548,41474,4589,1,5,3
1,0,0,1898,87516,2991,1,5,6
1,1,0,1898,87537,2971,1,5,6
1,0,0,2148,58933,3784,1,5,4
1,1,0,2148,58930,3786,1,5,4
1,0,0,3298,43038,4281,1,5,3
1,1,0,3298,43040,4280,1,5,3
1,0,0,1098,47092,4281,1,5,3
1,0,0,1498,63775,3738,1,5,4
1,0,0,1948,32075,4904,1,5,2
1,0,0,3348,10458,6106,1,5,1
1,0,0,248,60951,3787,1,5,4
1,0,0,3298,83013,2948,1,5,5
1,1,0,3298,82941,3062,1,5,5
1,0,0,3548,42775,4463,1,5,3
1,0,0,2698,54868,3932,1,5,4
1,1,0,2698,54865,3933,1,5,4
1,0,0,48,86419,3056,1,5,6
1,0,0,148,88221,2859,1,5,6
1,0,0,2298,71095,3461,1,5,5
1,0,0,1398,38231,4480,1,5,3
1,1,0,1398,38232,4479,1,5,3
1,0,0,1598,20590,5424,1,5,2
1,1,0,1598,20590,5424,1,5,2
1,0,0,598,65358,3452,1,5,4
1,1,0,598,65358,3452,1,5,4
1,0,0,2198,15938,5631,1,5,1
1,1,0,2198,15940,5631,1,5,1
1,0,0,98,57094,3824,1,5,4
1,1,0,98,57101,3829,1,5,4
1,0,0,848,90691,2778,1,5,6
1,0,0,298,24542,5116,1,5,2
1,1,0,298,24542,5116,1,5,2
1,0,0,1948,49777,3998,1,5,3
1,0,0,3248,23932,5098,1,5,2
1,0,0,3398,45857,4161,1,5,3
1,1,0,3398,45900,4083,1,5,3
1,0,0,1198,61474,3567,1,5,4
1,0,0,2398,9901,5846,1,5,1
1,1,0,2398,9899,5847,1,5,1
1,0,0,2698,39948,4526,1,5,3
1,1,0,2698,39946,4528,1,5,3
1,0,0,248,10772,5911,1,5,1
1,1,0,248,10771,5908,1,5,1
1,0,0,2148,56993,3858,1,5,4
1,0,0,1948,69598,3321,1,5,5
1,0,0,3248,13368,5811,1,5,1
1,1,0,3248,13366,5818,1,5,1
1,0,0,3548,55996,3903,1,5,4
1,0,0,398,44870,4180,1,5,3
1,0,0,1298,27788,5134,1,5,2
1,1,0,1298,27788,5135,1,5,2
1,0,0,1848,9034,6020,1,5,1
1,0,0,2798,70675,3277,1,5,5
1,0,0,3548,79029,3076,1,5,5
1,1,0,3548,79001,3076,1,5,5
