sw_slcid,sw_slid,sw_bcid,sw_eta,sw_pt,sw_ptthresh,sw_charge,sw_nsegments,sw_quality,off_pt, off_eta, off_match
1,0,2648,1415,44,20,1,3,0,20.368849,0.682361,1
0,0,2548,1110,123,20,1,3,0,44.551857,0.539403,1
1,0,2548,1110,125,20,1,3,0,44.551857,0.539403,1
0,0,148,361,17,5,-1,2,0,7.016916,0.179219,1
0,0,348,1291,62,20,1,3,0,43.470695,0.635831,1
0,0,2298,0,0,0,1,0,0,6.150831,0.802614,1
0,0,2348,1930,96,20,1,2,0,43.425510,0.949541,1
1,0,2348,1930,100,20,1,3,0,43.425510,0.949541,1
0,0,2598,1255,80,20,1,3,0,31.985640,0.624959,1
0,0,2798,437,59,20,1,3,0,27.449457,0.209218,1
1,0,2798,437,59,20,1,3,0,27.449457,0.209218,1
0,0,798,108,49,20,1,2,0,27.077448,0.067070,1
0,0,2198,0,0,0,1,0,0,4.158023,0.242025,1
1,0,2198,0,0,0,1,0,0,4.158023,0.242025,1
0,0,98,259,42,20,1,3,0,21.195312,0.103200,1
1,0,98,259,42,20,1,3,0,21.195312,0.103200,1
0,0,1348,441,49,20,1,2,0,24.932886,0.224231,1
1,0,1348,441,49,20,1,2,0,24.932886,0.224231,1
0,0,348,110,37,20,1,2,0,20.484621,0.031469,1
0,0,498,273,39,20,1,3,0,18.113871,0.126855,1
1,0,498,273,39,20,1,3,0,18.113871,0.126855,1
0,0,1898,1410,71,20,1,3,0,46.597065,0.690588,1
1,0,1898,1410,71,20,1,3,0,46.597065,0.690588,1
0,0,1798,1313,44,20,1,3,0,18.276403,0.630557,1
1,0,1798,1315,41,20,1,3,0,18.276403,0.630557,1
0,0,3348,975,100,20,1,3,0,41.453968,0.482019,1
1,0,3348,975,91,20,1,2,0,41.453968,0.482019,1
0,0,3498,1821,28,15,1,2,0,12.873795,0.883344,1
0,0,3548,148,81,20,1,3,0,42.730907,0.051769,1
1,0,3548,148,81,20,1,3,0,42.730907,0.051769,1
0,0,1398,1417,34,15,1,3,0,18.713444,0.698764,1
1,0,1398,1417,33,20,-1,2,0,18.713444,0.698764,1
0,0,498,273,14,5,-1,2,0,6.708335,0.165330,1
0,0,548,1783,88,20,1,3,0,35.114952,0.872236,1
1,0,548,1783,85,20,1,3,0,35.114952,0.872236,1
0,0,2448,1082,15,5,-1,2,0,11.984602,0.502901,1
0,0,1348,164,74,20,1,3,0,44.639145,0.098485,1
1,0,1348,164,76,20,1,3,0,44.639145,0.098485,1
0,0,2448,513,47,20,1,3,0,20.960056,0.240749,1
1,0,2448,513,39,20,1,3,0,20.960056,0.240749,1
0,0,598,454,99,20,1,3,0,39.802254,0.240691,1
0,0,1298,980,58,20,1,3,0,42.167377,0.479544,1
1,0,1298,980,58,20,1,3,0,42.167377,0.479544,1
0,0,1398,546,29,15,1,3,0,12.963042,0.276269,1
1,0,1398,546,31,15,1,3,0,12.963042,0.276269,1
0,0,48,814,72,20,1,3,0,31.883671,0.380442,1
1,0,48,814,70,20,1,3,0,31.883671,0.380442,1
0,0,1798,1129,37,20,1,3,0,18.562099,0.554367,1
1,0,1798,1129,28,15,1,3,0,18.562099,0.554367,1
0,0,2248,0,0,0,1,0,0,4.180850,0.943178,1
1,0,2248,0,0,0,1,0,0,4.180850,0.943178,1
0,0,1098,1222,57,20,1,3,0,32.146896,0.602735,1
1,0,1098,1222,57,20,1,3,0,32.146896,0.602735,1
0,0,2248,1396,27,15,-1,2,0,13.906625,0.692479,1
0,0,0,0,0,0,1,0,0,16.772511,0.760059,1
0,0,1548,147,42,20,1,3,0,21.694763,0.088238,1
1,0,1548,147,43,20,1,3,0,21.694763,0.088238,1
0,0,2598,1034,74,20,1,3,0,44.832943,0.506350,1
0,0,3148,1166,27,15,1,3,0,13.312807,0.561787,1
0,0,148,0,0,0,1,0,0,4.067011,0.931830,1
1,0,148,0,0,0,1,0,0,4.067011,0.931830,1
0,0,2548,420,121,20,1,3,0,48.481213,0.231649,1
1,0,2548,420,80,20,1,2,0,48.481213,0.231649,1
0,0,2998,1585,47,20,1,3,0,23.229525,0.752140,1
1,0,2998,1585,65,20,1,3,0,23.229525,0.752140,1
0,0,648,1539,59,20,1,2,0,32.748795,0.766769,1
1,0,648,1539,75,20,1,3,0,32.748795,0.766769,1
0,0,798,523,110,20,1,3,0,40.261551,0.252492,1
0,0,298,1933,45,20,1,3,0,27.970200,0.949962,1
1,0,298,1933,48,20,1,3,0,27.970200,0.949962,1
0,0,598,1854,57,20,1,3,0,37.733959,0.912679,1
1,0,598,1854,57,20,1,3,0,37.733959,0.912679,1
0,0,1598,1781,26,10,-1,2,0,12.860906,0.865861,1
0,0,1948,464,75,20,1,3,0,40.867832,0.215907,1
1,0,1948,464,77,20,1,3,0,40.867832,0.215907,1
0,0,348,1076,15,5,1,2,0,13.343482,0.515177,1
0,0,1798,2126,43,20,1,3,0,28.743525,1.043021,1
1,0,1798,2126,43,20,1,3,0,28.743525,1.043021,1
0,0,3248,0,0,0,1,0,0,3.956753,0.369968,1
1,0,3248,0,0,0,1,0,0,3.956753,0.369968,1
0,0,1898,2147,55,20,1,3,0,40.119179,1.052720,1
1,0,1898,2147,55,20,1,3,0,40.119179,1.052720,1
0,0,1448,570,49,20,1,3,0,29.893730,0.262586,1
1,0,1448,570,49,20,1,3,0,29.893730,0.262586,1
0,0,2698,1242,61,20,1,3,0,34.309132,0.603479,1
0,0,3348,1846,30,15,1,2,0,17.873838,0.889926,1
1,0,3348,1846,34,15,1,3,0,17.873838,0.889926,1
0,0,1248,606,46,20,1,3,0,25.848572,0.278174,1
1,0,1248,606,46,20,1,3,0,25.848572,0.278174,1
0,0,2248,679,45,20,1,3,0,27.602425,0.317622,1
0,0,98,532,81,20,1,3,0,26.275841,0.258691,1
0,0,498,447,47,20,1,2,0,23.463474,0.234154,1
0,0,548,0,0,0,1,0,0,4.910836,0.983581,1
1,0,548,0,0,0,1,0,0,4.910836,0.983581,1
0,0,1148,128,57,20,-1,2,0,33.058163,0.068248,1
0,0,1348,674,59,20,1,3,0,35.112309,0.336619,1
1,0,1348,674,61,20,1,3,0,35.112309,0.336619,1
0,0,1548,249,89,20,1,3,0,36.631435,0.122476,1
1,0,1548,249,89,20,1,3,0,36.631435,0.122476,1
