sw_slcid,sw_slid,sw_bcid,sw_eta,sw_pt,sw_ptthresh,sw_charge,sw_nsegments,sw_quality,off_pt, off_eta, off_match
0,0,398,1126,100,20,1,3,0,41.205215,0.554953,1
0,0,1898,816,87,20,1,2,0,47.454754,0.383373,1
0,0,1298,757,31,15,1,3,0,15.343989,0.372289,1
1,0,1298,757,31,15,1,3,0,15.343989,0.372289,1
0,0,1848,252,45,20,1,3,0,24.170595,0.129890,1
0,0,2798,1675,38,20,1,2,0,17.963661,0.797403,1
1,0,2798,1675,40,20,1,3,0,17.963661,0.797403,1
0,0,3548,1841,70,20,1,3,0,35.608723,0.893535,1
1,0,3548,1841,82,20,1,3,0,35.608723,0.893535,1
0,0,598,1951,46,20,1,2,0,25.665590,0.940983,1
1,0,598,1951,64,20,1,3,0,25.665590,0.940983,1
0,0,598,1701,28,15,1,2,0,14.153109,0.822002,1
1,0,598,1701,25,10,1,3,0,14.153109,0.822002,1
0,0,2398,1639,121,20,1,3,0,43.661594,0.798770,1
0,0,1448,251,29,15,1,2,0,14.490929,0.106640,1
0,0,2798,2149,27,15,1,3,0,16.241087,1.062466,1
1,0,2798,2149,36,20,-1,2,0,16.241087,1.062466,1
0,0,2998,1869,29,15,1,3,0,16.184761,0.916213,1
1,0,2998,1869,33,15,-1,2,0,16.184761,0.916213,1
0,0,2648,330,101,20,1,3,0,41.962574,0.166879,1
1,0,2648,330,103,20,1,3,0,41.962574,0.166879,1
0,0,1998,68,45,20,-1,2,0,24.562365,0.037675,1
0,0,2648,1956,37,20,1,2,0,20.604782,0.932649,1
0,0,1148,527,59,20,1,3,0,36.382072,0.250805,1
1,0,1148,527,57,20,1,3,0,36.382072,0.250805,1
0,0,1048,0,0,0,1,0,0,6.867101,0.953773,1
0,0,1348,908,58,20,1,3,0,23.856653,0.439197,1
0,0,2548,0,0,0,1,0,0,7.277998,0.450169,1
0,0,348,1026,50,20,1,3,0,21.513027,0.492569,1
1,0,348,1026,47,20,1,3,0,21.513027,0.492569,1
0,0,1848,850,65,20,1,3,0,49.374802,0.425991,1
1,0,1848,850,65,20,1,3,0,49.374802,0.425991,1
0,0,2998,628,80,20,1,3,0,46.153931,0.292540,1
1,0,2998,0,0,0,1,0,0,46.153931,0.292540,1
0,0,3448,1801,36,20,1,3,0,24.074299,0.868050,1
1,0,3448,1801,41,20,-1,2,0,24.074299,0.868050,1
0,0,2048,747,63,20,1,3,0,38.830242,0.373613,1
1,0,2048,747,63,20,1,3,0,38.830242,0.373613,1
0,0,498,1705,59,20,-1,2,0,32.689877,0.821021,1
1,0,498,1705,59,20,-1,2,0,32.689877,0.821021,1
0,0,2898,74,67,20,-1,2,0,46.286476,0.033676,1
0,0,3048,1918,31,15,1,2,0,16.953892,0.938497,1
1,0,3048,1918,31,15,1,2,0,16.953892,0.938497,1
0,0,3398,0,0,0,1,0,0,8.527499,0.932092,1
0,0,548,290,24,10,1,2,0,11.998211,0.129877,1
1,0,548,290,26,10,1,3,0,11.998211,0.129877,1
0,0,2898,1562,20,10,-1,2,0,9.975393,0.744033,1
0,0,248,442,30,15,1,2,0,16.512896,0.231849,1
0,0,798,1159,74,20,1,3,0,46.876308,0.560396,1
1,0,798,1159,94,20,1,3,0,46.876308,0.560396,1
0,0,1298,0,0,0,1,0,0,41.558506,0.313239,1
1,0,1298,648,73,20,1,3,0,41.558506,0.313239,1
