01L_195	0	3.64154	0.585681	0	0	0	0	0
01L_195	1	3.64154	0.585681	1.24176	3.11566	-25.632	0.940204	-2.07071
01L_195	2	3.64154	0.585681	1.23029	-0.893841	-20.9388	-2.42656	3.79255
01L_195	3	3.64154	0.585681	2.13678	1.80799	-64.0042	3.08387	-7.31944
01L_195	4	3.64154	0.585681	2.19902	2.22302	-93.6246	-3.10233	5.34864
01L_195	5	3.64154	0.585681	2.23043	3.43715	-143.302	0.272615	-0.136138
01L_195	6	3.64154	0.585681	2.44131	6.60839	-118.322	-3.96472	8.5069
01L_195	7	3.64154	0.585681	4.02921	6.73764	-201.126	-2.99703	5.31994
01L_195	8	3.64154	0.585681	2.84846	-7.68698	-227.679	-7.15635	13.1054
01L_195	9	3.64154	0.585681	5.69174	2.69379	-276.006	5.69007	-7.82026
01L_210	0	4.11047	371.962	0	0	0	0	0
01L_210	1	4.11047	371.962	1.00242	0.97756	-27.1981	2.13483	-4.84921
01L_210	2	4.11047	371.962	0.650449	0.99362	-31.8522	-3.10864	6.78635
01L_210	3	4.11047	371.962	0.439525	1.23075	-76.855	-15.504	34.418
01L_210	4	4.11047	371.962	0.150833	-1.13136	-75.645	34.9926	-77.9759
01L_210	5	4.11047	371.962	1.2674	-0.632817	-124.432	-0.882063	0.407892
01L_210	6	4.11047	371.962	0.531061	1.3013	-143.517	33.055	-72.8994
01L_210	7	4.11047	371.962	1.06717	-1.45488	-177.323	-33.4687	73.6753
01L_210	8	4.11047	371.962	0	0	0	0	0
01L_210	9	4.11047	371.962	0	0	0	0	0
01L_211	0	4.60918	364.681	0	0	0	0	0
01L_211	1	4.60918	364.681	0	0	0	0	0
01L_211	2	4.60918	364.681	1.581	1.83036	-45.4302	-12.3075	25.7586
01L_211	3	4.60918	364.681	1.01335	0.184595	-46.9659	-8.8305	17.988
01L_211	4	4.60918	364.681	1.01138	1.67329	-90.2935	4.0702	-8.82411
01L_211	5	4.60918	364.681	1.38186	1.47656	-141.523	-13.7299	28.6698
01L_211	6	4.60918	364.681	0.599555	1.44432	-138.808	7.8478	-16.9905
01L_211	7	4.60918	364.681	0.781964	-0.385037	-166.113	4.16814	-9.05386
01L_211	8	4.60918	364.681	0.89484	0.499731	-179.519	8.65321	-18.8903
01L_211	9	4.60918	364.681	1.95207	-4.94719	-177.225	0.149319	-0.43771
01L_219	0	4.95937	368.15	0	0	0	0	0
01L_219	1	4.95937	368.15	1.78436	-0.105711	-22.9829	-2.75958	5.30985
01L_219	2	4.95937	368.15	1.45664	0.559943	-37.6596	2.31541	-4.25338
01L_219	3	4.95937	368.15	0.854212	0.693636	-58.5159	3.21026	-5.6888
01L_219	4	4.95937	368.15	0.731313	0.86537	-90.9113	6.02484	-11.0465
01L_219	5	4.95937	368.15	0.415056	-0.516101	-123.929	9.84201	-18.2246
01L_219	6	4.95937	368.15	0.254507	0.347154	-152.498	11.3494	-20.9171
01L_219	7	4.95937	368.15	-0.215388	0.749556	-163.448	10.8486	-20.0302
01L_219	8	4.95937	368.15	-0.376864	-1.09679	-148.713	9.00719	-16.6903
01L_219	9	4.95937	368.15	1.67273	-6.14394	-113.348	7.54927	-14.2746
01L_27	0	3.54233	0.33665	0	0	0	0	0
01L_27	1	3.54233	0.33665	1.11814	0.681975	-35.5896	0.610201	-1.04585
01L_27	2	3.54233	0.33665	1.36731	-0.788925	-61.7076	0.768296	-1.43184
01L_27	3	3.54233	0.33665	1.61392	-2.39289	-93.5118	1.45251	-2.98809
01L_27	4	3.54233	0.33665	2.50282	2.27752	-174.334	4.18362	-8.21793
01L_27	5	3.54233	0.33665	2.23324	-5.99731	-91.2759	-3.15808	3.07351
01L_27	6	3.54233	0.33665	5.04529	14.1827	-84.3949	6.83723	-12.9337
01L_27	7	3.54233	0.33665	3.15458	-21.8031	38.5909	21.475	-37.2443
01L_27	8	3.54233	0.33665	4.06084	3.4522	311.904	0	0
01L_27	9	3.54233	0.33665	15.8547	3.19455	140.818	0	0
01L_28	0	4.04343	0.308197	0	0	0	0	0
01L_28	1	4.04343	0.308197	1.435	0.439471	-33.3651	-6.91163	10.27
01L_28	2	4.04343	0.308197	1.91265	4.70282	-129.884	-11.3576	16.7071
01L_28	3	4.04343	0.308197	1.88841	-0.616215	-134.394	35.7413	-54.6593
01L_28	4	4.04343	0.308197	1.66317	-3.54636	-47.1873	25.9524	-41.6463
01L_28	5	4.04343	0.308197	2.46916	-10.7508	-535.779	0	0
01L_28	6	4.04343	0.308197	0	0	0	0	0
01L_28	7	4.04343	0.308197	0	0	0	0	0
01L_28	8	4.04343	0.308197	0	0	0	0	0
01L_28	9	4.04343	0.308197	0	0	0	44.8912	-51.72
01L_280	0	2.98707	0.325872	0	0	0	0	0
01L_280	1	2.98707	0.325872	0	0	0	0	0
01L_280	2	2.98707	0.325872	2.04261	4.80329	-56.9976	2.46061	-3.22286
01L_280	3	2.98707	0.325872	2.95845	-4.45726	-145.522	-5.53173	8.69817
01L_280	4	2.98707	0.325872	5.31432	-11.107	-363.016	-22.9862	34.3113
01L_280	5	2.98707	0.325872	4.41448	4.72455	-186.526	-13.04	17.2847
01L_280	6	2.98707	0.325872	7.47294	4.05104	-342.034	-35.0986	50.5887
01L_280	7	2.98707	0.325872	7.34982	2.94807	-280.989	55.3858	-87.8452
01L_280	8	2.98707	0.325872	9.23204	7.93676	-224.984	-9.18938	16.3799
01L_280	9	2.98707	0.325872	13.0118	3.38008	180.303	33.3745	-40.5389
01L_283	0	4.6265	391.685	0	0	0	0	0
01L_283	1	4.6265	391.685	1.36332	-0.478393	-26.7573	3.42997	-5.84988
