MuonID,isOnOfflineSeg,dataValid,IdxRawHit,L_localX,L_localY,C_localX,C_localY,DriftTime,DriftTimeCorr,driftRadius_Rt,offIDriftTime,offIDriftTimeCorr
4733952,1,1,2,151.329833984375,15.017499923706055,0.0,0.0,854.6875,21.7281494140625,1.0,24.049171447753906,21.7281494140625
4733952,1,1,2,137.8977813720703,15.017499923706055,0.0,0.0,854.6875,21.7281494140625,1.0,24.049171447753906,21.7281494140625
4733957,1,1,16,135.15750122070312,15.017499923706055,0.0,0.0,1205.46875,372.46392822265625,1.0,371.60943603515625,372.46392822265625
4733957,1,1,16,135.15750122070312,15.017499923706055,0.0,0.0,1205.46875,372.46392822265625,1.0,371.60943603515625,372.46392822265625
4733957,1,1,10,165.1925048828125,15.017499923706055,0.0,0.0,1032.8125,199.80767822265625,1.0,198.95289611816406,199.80767822265625
4733957,1,1,10,135.15750122070312,15.017499923706055,0.0,0.0,1032.8125,199.80767822265625,1.0,198.95289611816406,199.80767822265625
4733957,0,1,16,135.15750122070312,15.017499923706055,0.0,0.0,1032.8125,199.80767822265625,1.0,199.8076629638672,199.80767822265625
4733957,0,1,16,135.15750122070312,15.017499923706055,0.0,0.0,1032.8125,199.80767822265625,1.0,199.8076629638672,199.80767822265625
4733958,1,1,15,165.1925048828125,15.017499923706055,0.0,0.0,1148.4375,315.42169189453125,1.0,314.5671691894531,315.42169189453125
4733958,1,1,22,165.1925048828125,15.017499923706055,0.0,0.0,1133.59375,300.57794189453125,1.0,297.86151123046875,300.57794189453125
4733958,1,1,22,165.1925048828125,15.017499923706055,0.0,0.0,1133.59375,300.57794189453125,1.0,297.86151123046875,300.57794189453125
4733958,1,1,15,135.15750122070312,15.017499923706055,0.0,0.0,1148.4375,315.42169189453125,1.0,314.5671691894531,315.42169189453125
4733963,1,1,17,165.1925048828125,15.017499923706055,0.0,0.0,1346.875,513.7951049804688,1.0,512.9398193359375,513.7951049804688
4733963,1,1,17,165.1925048828125,15.017499923706055,0.0,0.0,1346.875,513.7951049804688,1.0,512.9398193359375,513.7951049804688
4733965,1,1,19,165.1925048828125,15.017499923706055,0.0,0.0,1146.875,313.76519775390625,1.0,314.57684326171875,313.76519775390625
4733965,1,1,19,165.1925048828125,15.017499923706055,0.0,0.0,1146.875,313.76519775390625,1.0,314.57684326171875,313.76519775390625
4733966,1,1,5,165.1925048828125,15.017499923706055,0.0,0.0,875.0,41.87432861328125,1.0,41.019317626953125,41.87432861328125
4733966,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,950.0,116.87432861328125,1.0,119.19731903076172,116.87432861328125
4733966,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,950.0,116.87432861328125,1.0,119.19731903076172,116.87432861328125
4733966,1,1,5,165.1925048828125,15.017499923706055,0.0,0.0,875.0,41.87432861328125,1.0,41.019317626953125,41.87432861328125
4733968,1,1,21,165.1925048828125,15.017499923706055,0.0,0.0,1441.40625,608.2470092773438,1.0,610.5704956054688,608.2470092773438
4733968,1,1,21,165.1925048828125,15.017499923706055,0.0,0.0,1441.40625,608.2470092773438,1.0,610.5704956054688,608.2470092773438
4733970,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,1013.28125,180.0860595703125,1.0,180.89785766601562,180.0860595703125
4733970,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,1013.28125,180.0860595703125,1.0,180.89785766601562,180.0860595703125
4733971,1,1,15,195.2274932861328,15.017499923706055,0.0,0.0,1005.46875,172.25469970703125,1.0,175.96519470214844,172.25469970703125
4733971,1,1,15,165.1925048828125,15.017499923706055,0.0,0.0,1005.46875,172.25469970703125,1.0,175.96519470214844,172.25469970703125
4733972,1,1,8,165.1925048828125,15.017499923706055,0.0,0.0,1039.84375,206.6102294921875,1.0,208.93467712402344,206.6102294921875
4733972,1,1,8,165.1925048828125,15.017499923706055,0.0,0.0,1039.84375,206.6102294921875,1.0,208.93467712402344,206.6102294921875
4733973,1,1,7,165.1925048828125,15.017499923706055,0.0,0.0,915.625,82.37139892578125,1.0,86.08252716064453,82.37139892578125
4733973,1,1,7,165.1925048828125,15.017499923706055,0.0,0.0,915.625,82.37139892578125,1.0,86.08252716064453,82.37139892578125
4733974,1,1,1,165.1925048828125,15.017499923706055,0.0,0.0,858.59375,25.3194580078125,1.0,27.644210815429688,25.3194580078125
4733974,1,1,1,165.1925048828125,15.017499923706055,0.0,0.0,858.59375,25.3194580078125,1.0,27.644210815429688,25.3194580078125
4733974,1,1,16,165.1925048828125,15.017499923706055,0.0,0.0,969.53125,136.2569580078125,1.0,133.54421997070312,136.2569580078125
4733974,1,1,16,165.1925048828125,15.017499923706055,0.0,0.0,969.53125,136.2569580078125,1.0,133.54421997070312,136.2569580078125
4733975,1,1,5,165.1925048828125,15.017499923706055,0.0,0.0,922.65625,89.3607177734375,1.0,93.07332611083984,89.3607177734375
4733975,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,996.875,163.5794677734375,1.0,164.3917694091797,163.5794677734375
4733975,1,1,9,165.1925048828125,15.017499923706055,0.0,0.0,996.875,163.5794677734375,1.0,164.3917694091797,163.5794677734375
4733975,1,1,5,165.1925048828125,15.017499923706055,0.0,0.0,922.65625,89.3607177734375,1.0,93.07332611083984,89.3607177734375
4733976,0,1,17,15.017499923706055,15.017499923706055,0.0,0.0,1196.875,363.5576171875,1.0,363.5576171875,363.5576171875
4733976,1,1,21,135.15750122070312,15.017499923706055,0.0,0.0,1407.8125,574.4951171875,1.0,576.8211059570312,574.4951171875
