# --------------------------
# TS:0123456789
# Side:A Sector:3 Area:Barrel
# --------------------------
ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
37311,1165,31,16,148,1,1,5,0,5015,4796,59.06878662109375,126,6831247,0,4,11,542.5,23.149951934814453
37313,1166,1,5,5,4,1,1,0,465,5048,191.8682861328125,17,4734468,0,1,3,542.5,16.912960052490234
37323,1166,11,27,235,0,3,5,1,7265,6913,58.13922119140625,126,40385562,2,6,21,542.5,33.45455551147461
37323,1166,11,27,159,7,1,5,0,5360,5127,66.85015869140625,126,6832026,0,9,20,542.5,24.743619918823242
37330,1166,18,16,148,2,1,5,0,5030,4822,73.81634521484375,126,6831375,0,4,17,542.5,23.246139526367188
37331,1166,19,21,21,1,5,1,2,780,9300,191.71160888671875,17,71842964,4,4,14,542.5,31.13213348388672
37351,1167,7,51,323,2,5,5,2,9906,9326,68.08355712890625,126,73940274,4,12,5,542.5,45.38518142700195
37406,1168,30,29,237,2,3,5,1,7325,6965,122.7181396484375,126,40385820,2,6,6,542.5,33.71933364868164
37427,1169,19,27,235,1,3,5,1,7280,6939,139.2930908203125,126,40385690,2,6,13,542.5,33.55066680908203
37441,1170,1,4,4,5,1,1,0,450,5075,291.786376953125,17,4734595,0,1,10,542.5,16.994861602783203
37475,1171,3,14,146,0,1,5,0,4970,4770,187.3623046875,126,6831117,0,4,2,542.5,22.981414794921875
37507,1172,3,1,249,3,3,6,1,7705,7312,199.9105224609375,126,40910336,3,1,17,542.5,35.4332275390625
37512,1172,8,16,16,2,3,1,1,615,6965,340.92510986328125,17,38288655,2,2,0,542.5,23.324878692626953
37521,1172,17,49,321,1,5,5,2,9861,9300,201.06494140625,126,73940144,4,12,9,542.5,45.216304779052734
37523,1172,19,64,336,3,5,5,2,10297,9673,200.71673583984375,126,73940543,4,15,18,542.5,47.12699508666992
37528,1172,24,25,157,4,1,5,0,5285,5048,227.3673095703125,126,6831640,0,9,1,542.5,24.382709503173828
37539,1173,3,4,4,2,1,1,0,450,4822,369.18621826171875,17,4734211,0,0,17,542.5,16.157541275024414
37546,1173,10,18,150,3,1,5,0,5075,4848,242.3978271484375,126,6831505,0,4,19,542.5,23.41469955444336
37560,1173,24,26,158,6,1,5,0,5315,5101,252.1749267578125,126,6831897,0,9,12,542.5,24.5750789642334
37602,1175,2,17,17,5,3,1,1,645,7364,409.90283203125,17,38289168,2,5,1,542.5,24.659658432006836
37633,1176,1,66,338,5,5,5,2,10357,9725,286.389404296875,126,73940801,4,17,3,542.5,47.391845703125
37634,1176,2,21,21,4,5,1,2,780,9699,427.10369873046875,17,71843476,4,5,14,542.5,32.45878219604492
37675,1177,11,3,251,5,3,6,1,7765,7364,330.895751953125,126,40910594,3,1,5,542.5,35.698020935058594
37683,1177,19,2,250,5,3,6,1,7735,7364,337.2183837890625,126,40910593,3,1,3,542.5,35.625396728515625
37759,1179,31,65,337,5,5,5,2,10327,9725,384.89990234375,126,73940800,4,17,1,542.5,47.31886291503906
37775,1180,15,5,149,4,5,3,2,4660,9699,8.8240966796875,153,72892036,4,1,14,542.5,35.89464569091797
37775,1180,15,1,113,5,3,3,1,3565,7364,17.42645263671875,153,39337728,2,1,1,542.5,27.29232406616211
37777,1180,17,36,66,2,1,2,0,2331,4822,28.412841796875,153,5258531,1,10,15,542.5,17.868432998657227
37807,1181,15,27,159,6,1,5,0,5345,5101,445.0712890625,126,6831898,0,9,14,542.5,24.647464752197266
37823,1181,31,5,149,3,5,3,2,4645,9673,46.42401123046875,153,72891908,4,1,22,542.5,35.79474639892578
37825,1182,1,4,4,7,1,1,0,450,5127,591.613525390625,17,4734851,0,1,22,542.5,17.16771697998047
37831,1182,7,36,66,1,1,2,0,2316,4796,70.70025634765625,153,5258403,1,10,9,542.5,17.768518447875977
37831,1182,7,17,149,3,1,5,0,5045,4848,465.12640380859375,126,6831504,0,4,21,542.5,23.342361450195312
37855,1182,31,6,150,5,5,3,2,4675,9725,71.22418212890625,153,72892165,4,1,0,542.5,35.994544982910156
37868,1183,12,24,156,4,1,5,0,5255,5048,493.06463623046875,126,6831639,0,7,5,542.5,24.310361862182617
37879,1183,23,35,65,0,1,2,0,2301,4770,108.3001708984375,153,5258274,1,10,1,542.5,17.66860580444336
37889,1184,1,16,16,0,3,1,1,615,6913,635.6292114257812,17,38288399,2,2,16,542.5,23.15203094482422
37904,1184,16,63,335,3,5,5,2,10267,9673,498.44598388671875,126,73940542,4,15,20,542.5,47.05402755737305
37905,1184,17,50,322,1,5,5,2,9891,9300,500.99200439453125,126,73940145,4,12,11,542.5,45.28924560546875
37942,1185,22,72,144,2,5,2,2,4477,9326,140.6783447265625,153,72367431,5,16,0,542.5,34.509151458740234
37944,1185,24,51,107,2,3,2,1,3366,6965,150.94390869140625,153,38812978,3,12,5,542.5,25.806074142456055
37967,1186,15,15,147,0,1,5,0,5000,4770,571.6649780273438,126,6831118,0,4,0,542.5,23.05379867553711
38070,1189,22,5,71,6,1,3,0,2485,5101,256.260498046875,153,5783300,0,1,15,542.5,18.92702865600586
38077,1189,29,50,106,1,3,2,1,3351,6939,254.9500732421875,153,38812849,3,12,11,542.5,25.706157684326172
38098,1190,18,28,236,1,3,5,1,7310,6939,663.439208984375,126,40385691,2,6,15,542.5,33.623260498046875
38161,1192,17,4,70,4,1,3,0,2455,5048,327.5540771484375,153,5783043,0,1,4,542.5,18.727155685424805
38206,1193,30,71,143,1,5,2,2,4462,9300,347.02825927734375,153,72367302,5,16,10,542.5,34.40925598144531
38226,1194,18,4,70,7,1,3,0,2470,5127,378.0792236328125,153,5783427,0,1,22,542.5,18.9832706451416
38254,1195,14,50,106,0,3,2,1,3336,6913,393.33123779296875,153,38812721,3,12,19,542.5,25.606245040893555
38256,1195,16,49,105,1,3,2,1,3321,6939,394.8372802734375,153,38812848,3,12,9,542.5,25.662744522094727
38276,1196,4,49,105,2,3,2,1,3306,6965,410.405517578125,153,38812976,3,12,1,542.5,25.71950912475586
38329,1197,25,48,104,2,3,2,1,3276,6965,451.85455322265625,153,38812975,3,10,0,542.5,25.67670249938965
38335,1197,31,49,105,0,3,2,1,3306,6913,456.6558837890625,153,38812720,3,12,17,542.5,25.562856674194336
38339,1198,3,4,70,5,1,3,0,2470,5075,466.51666259765625,153,5783171,0,1,10,542.5,18.827091217041016
38340,1198,4,35,283,4,3,6,1,8741,7338,-1.945556640625,71,40910498,3,9,13,542.5,38.0705680847168
38348,1198,12,21,269,2,3,6,1,8305,6965,6.21710205078125,71,40910100,3,4,6,542.5,36.15787887573242
38354,1198,18,19,267,0,3,6,1,8245,6913,11.169677734375,71,40909842,3,4,21,542.5,35.892845153808594
38368,1199,0,7,215,1,3,5,1,6680,6939,25.8699951171875,71,40385670,2,0,10,542.5,32.129974365234375
38370,1199,2,7,215,0,3,5,1,6665,6913,27.52978515625,71,40385542,2,0,18,542.5,32.03273391723633
38377,1199,9,26,234,2,3,5,1,7235,6965,31.52911376953125,71,40385817,2,6,3,542.5,33.502159118652344
38377,1199,9,30,374,4,5,6,2,11471,9699,14.9227294921875,71,74464925,5,7,8,542.5,50.10854721069336
38386,1199,18,28,236,0,3,5,1,7295,6913,38.5352783203125,71,40385563,2,6,23,542.5,33.52720642089844
38393,1199,25,8,170,0,1,6,0,5710,4770,52.710693359375,71,7355399,1,2,2,542.5,24.820587158203125
38421,1200,21,4,70,6,1,3,0,2455,5101,530.5228881835938,153,5783299,0,1,16,542.5,18.883363723754883
38423,1200,23,18,266,2,3,6,1,8215,6965,65.0406494140625,71,40910097,3,4,3,542.5,35.928104400634766
38428,1200,28,22,230,0,3,5,1,7115,6913,71.78155517578125,71,40385557,2,4,20,542.5,33.09345626831055
38430,1200,30,14,358,0,5,6,2,10975,9274,58.5067138671875,71,74464269,5,2,20,542.5,47.930755615234375
38430,1200,30,10,172,2,1,6,0,5770,4822,81.35186767578125,71,7355657,1,2,17,542.5,25.085613250732422
38430,1200,30,16,360,2,5,6,2,11035,9326,58.24169921875,71,74464527,5,2,0,542.5,48.19580078125
38431,1200,31,20,182,5,1,6,0,6070,5075,80.82525634765625,71,7356051,1,7,6,542.5,26.39352035522461
38439,1201,7,8,216,2,3,5,1,6695,6965,81.24151611328125,71,40385799,2,0,0,542.5,32.227230072021484
38443,1201,11,71,143,0,5,2,2,4447,9274,532.2843627929688,153,72367174,5,16,18,542.5,34.30936050415039
38447,1201,15,72,144,0,5,2,2,4477,9274,535.365966796875,153,72367175,5,16,16,542.5,34.35279846191406
38458,1201,26,12,174,3,1,6,0,5815,4848,103.055908203125,71,7355787,1,2,19,542.5,25.25657844543457
38460,1201,28,22,184,6,1,6,0,6115,5101,103.310546875,71,7356181,1,7,16,542.5,26.564483642578125
38467,1202,3,20,228,2,3,5,1,7055,6965,102.27203369140625,71,40385811,2,4,7,542.5,33.07171630859375
38472,1202,8,22,184,7,1,6,0,6130,5127,112.5914306640625,71,7356309,1,7,22,542.5,26.65854835510254
38501,1203,5,10,172,1,1,6,0,5755,4796,136.9146728515625,71,7355529,1,2,11,542.5,24.991558074951172
38504,1203,8,20,182,4,1,6,0,6055,5048,137.9505615234375,71,7355923,1,7,0,542.5,26.299461364746094
38510,1203,14,14,262,1,3,6,1,8110,6939,133.33258056640625,71,40909965,3,2,12,542.5,35.60490036010742
38519,1203,23,13,261,2,3,6,1,8065,6965,140.4212646484375,71,40910092,3,2,6,542.5,35.5474967956543
38525,1203,29,27,235,1,3,5,1,7280,6939,147.1055908203125,71,40385690,2,6,13,542.5,33.55066680908203
38530,1204,2,15,263,1,3,6,1,8140,6939,148.88140869140625,71,40909966,3,2,10,542.5,35.68108367919922
38543,1204,15,15,359,1,5,6,2,11020,9300,146.6171875,71,74464398,5,2,10,542.5,48.1015510559082
38570,1205,10,19,181,4,1,6,0,6025,5048,189.58990478515625,71,7355922,1,7,1,542.5,26.222591400146484
38581,1205,21,31,375,5,5,6,2,11486,9725,174.20343017578125,71,74465054,5,7,4,542.5,50.20283126831055
38599,1206,7,25,233,0,3,5,1,7205,6913,205.1590576171875,71,40385560,2,6,17,542.5,33.3096809387207
38605,1206,13,23,231,1,3,5,1,7160,6939,209.89453125,71,40385686,2,4,10,542.5,33.26172637939453
38606,1206,14,19,227,1,3,5,1,7040,6939,210.96240234375,71,40385682,2,4,13,542.5,32.97512435913086
38651,1207,27,17,265,2,3,6,1,8185,6965,243.24200439453125,71,40910096,3,4,1,542.5,35.85174560546875
38665,1208,9,21,229,2,3,5,1,7085,6965,256.88818359375,71,40385812,2,4,6,542.5,33.143089294433594
38668,1208,12,29,373,3,5,6,2,11425,9673,242.43719482421875,71,74464796,5,7,22,542.5,49.937782287597656
38686,1208,30,37,285,5,3,6,1,8786,7364,268.196044921875,71,40910628,3,9,6,542.5,38.24146270751953
38700,1209,12,18,226,0,3,5,1,6995,6913,284.5677490234375,71,40385553,2,4,19,542.5,32.807220458984375
38703,1209,15,37,245,2,3,5,1,7566,6965,285.41412353515625,71,40385828,2,8,6,542.5,34.304630279541016
38708,1209,20,20,268,1,3,6,1,8290,6939,287.56121826171875,71,40909971,3,4,15,542.5,36.06376266479492
38715,1209,27,35,283,3,3,6,1,8726,7312,291.1173095703125,71,40910370,3,9,21,542.5,37.9764289855957
38715,1209,27,26,234,0,3,5,1,7235,6913,295.71173095703125,71,40385561,2,6,19,542.5,33.38204574584961
38748,1210,28,34,282,3,3,6,1,8696,7312,316.97528076171875,71,40910369,3,9,19,542.5,37.899696350097656
38753,1211,1,22,230,1,3,5,1,7130,6939,325.59136962890625,71,40385685,2,4,12,542.5,33.18985366821289
38759,1211,7,19,267,1,3,6,1,8260,6939,327.48175048828125,71,40909970,3,4,13,542.5,35.98699188232422
38782,1211,30,36,284,5,3,6,1,8756,7364,343.27276611328125,71,40910627,3,9,7,542.5,38.16473388671875
38813,1212,29,12,260,2,3,6,1,8035,6965,370.18450927734375,71,40910091,3,2,7,542.5,35.47173309326172
38846,1213,30,30,374,3,5,6,2,11456,9673,381.4232177734375,71,74464797,5,7,16,542.5,50.014286041259766
38851,1214,3,38,246,0,3,5,1,7596,6913,401.0823974609375,71,40385573,2,8,20,542.5,34.26136779785156
38874,1214,26,32,376,5,5,6,2,11516,9725,403.03314208984375,71,74465055,5,7,2,542.5,50.27933120727539
38880,1215,0,13,261,1,3,6,1,8080,6939,422.47119140625,71,40909964,3,2,14,542.5,35.52883529663086
38882,1215,2,37,245,1,3,5,1,7581,6939,425.2796630859375,71,40385700,2,8,14,542.5,34.282859802246094
38900,1215,20,16,264,1,3,6,1,8170,6939,437.86761474609375,71,40909967,3,2,8,542.5,35.75738525390625
38927,1216,15,24,232,1,3,5,1,7190,6939,461.385009765625,71,40385687,2,4,8,542.5,33.333744049072266
39012,1219,4,18,226,1,3,5,1,7010,6939,528.2211303710938,71,40385681,2,4,11,542.5,32.903846740722656
39016,1219,8,9,171,1,1,6,0,5725,4796,539.3353271484375,71,7355528,1,2,6,542.5,24.914682388305664
39051,1220,11,14,358,1,5,6,2,10990,9300,543.5687255859375,71,74464397,5,2,12,542.5,48.025028228759766
39064,1220,24,25,233,2,3,5,1,7205,6965,568.3199462890625,71,40385816,2,6,1,542.5,33.430049896240234
39079,1221,7,18,180,4,1,6,0,5995,5048,587.3228759765625,71,7355921,1,5,5,542.5,26.1458797454834
39137,1223,1,23,185,7,1,6,0,6160,5127,632.0457763671875,71,7356310,1,7,21,542.5,26.7354793548584
39148,1223,12,38,246,1,3,5,1,7611,6939,633.0181884765625,71,40385701,2,8,12,542.5,34.35682678222656
39154,1223,18,11,173,3,1,6,0,5785,4848,646.8828125,71,7355786,1,2,21,542.5,25.17971420288086
39164,1223,28,21,183,6,1,6,0,6085,5101,653.3873901367188,71,7356180,1,7,14,542.5,26.487625122070312
39192,1224,24,27,235,2,3,5,1,7265,6965,668.1755981445312,71,40385818,2,6,5,542.5,33.574405670166016
39220,1225,20,29,373,4,5,6,2,11440,9699,673.5928955078125,71,74464924,5,7,14,542.5,50.03208541870117
39956,1248,20,9,65,0,3,2,1,2105,6913,-0.4813232421875,59,38812680,3,2,17,542.5,24.106346130371094
39965,1248,29,32,200,1,3,4,1,6211,6939,-0.408935546875,56,39861407,3,6,8,542.5,31.0651912689209
39967,1248,31,22,94,4,5,2,2,2990,9699,-1.63848876953125,59,72367765,5,5,8,542.5,33.85723876953125
39977,1249,9,32,200,0,3,4,1,6196,6913,9.0640869140625,56,39861279,3,6,16,542.5,30.967140197753906
39978,1249,10,4,212,4,3,5,1,6590,7338,7.9122314453125,56,40386179,2,1,15,542.5,32.900264739990234
39985,1249,17,18,90,0,5,2,2,2855,9274,13.91180419921875,59,72367121,5,4,19,542.5,32.36946487426758
40000,1250,0,13,69,4,3,2,1,2240,7338,32.40594482421875,59,38813324,3,3,14,542.5,25.59407615661621
40006,1250,6,29,125,3,1,4,0,4305,4848,41.05621337890625,56,6307228,1,8,21,542.5,21.63128662109375
40010,1250,10,35,131,4,1,4,0,4486,5048,43.28314208984375,56,6307362,1,11,3,542.5,22.529354095458984
40013,1250,13,7,37,2,1,2,0,1460,4822,51.347412109375,59,5258502,1,2,16,542.5,16.808820724487305
40033,1251,1,2,274,1,5,5,2,8450,9300,41.86590576171875,56,73940097,4,0,11,542.5,41.91536331176758
40036,1251,4,16,288,5,5,5,2,8855,9725,42.25067138671875,56,73940751,4,3,2,542.5,43.874324798583984
40037,1251,5,10,40,4,1,2,0,1535,5048,69.30316162109375,59,5258761,1,3,4,542.5,17.60307502746582
40049,1251,17,8,38,3,1,2,0,1475,4848,79.3748779296875,59,5258631,1,2,20,542.5,16.906391143798828
40059,1251,27,28,124,2,1,4,0,4290,4822,82.56060791015625,56,6307099,1,8,17,542.5,21.533159255981445
40082,1252,18,13,69,3,3,2,1,2225,7312,96.5660400390625,59,38813196,3,3,22,542.5,25.496475219726562
40084,1252,20,10,40,7,1,2,0,1550,5127,105.75830078125,59,5259145,1,3,22,542.5,17.866701126098633
40100,1253,4,3,275,2,5,5,2,8465,9326,94.11175537109375,56,73940226,4,0,5,542.5,42.01327133178711
40114,1253,18,14,286,3,5,5,2,8795,9673,103.45135498046875,56,73940493,4,3,16,542.5,43.61112594604492
40116,1253,20,26,122,0,1,4,0,4230,4770,127.3546142578125,56,6306841,1,8,2,542.5,21.270355224609375
40140,1254,12,9,65,1,3,2,1,2120,6939,143.1710205078125,59,38812808,3,2,9,542.5,24.203950881958008
40143,1254,15,23,95,5,5,2,2,3005,9725,135.76385498046875,59,72367894,5,5,4,542.5,33.954917907714844
40143,1254,15,4,212,3,3,5,1,6575,7312,136.91650390625,56,40386051,2,1,23,542.5,32.80224609375
40169,1255,9,22,94,3,5,2,2,2975,9673,156.27166748046875,59,72367637,5,5,16,542.5,33.75957489013672
40202,1256,10,5,213,5,3,5,1,6605,7364,182.814208984375,56,40386308,2,1,6,542.5,32.998294830322266
40212,1256,20,18,90,1,5,2,2,2870,9300,191.1578369140625,59,72367249,5,4,11,542.5,32.46713638305664
40247,1257,23,14,70,5,3,2,1,2255,7364,225.27703857421875,59,38813453,3,3,0,542.5,25.691694259643555
40269,1258,13,35,131,5,1,4,0,4501,5075,245.52874755859375,56,6307490,1,11,9,542.5,22.62749481201172
40320,1260,0,7,37,1,1,2,0,1445,4796,291.2886962890625,59,5258374,1,2,10,542.5,16.711278915405273
40328,1260,8,34,202,2,3,4,1,6256,6965,283.0198974609375,56,39861537,3,8,3,542.5,31.230112075805664
40345,1260,25,15,287,4,5,5,2,8840,9699,283.75482177734375,56,73940622,4,3,12,542.5,43.776451110839844
40348,1260,28,2,274,0,5,5,2,8435,9274,288.05755615234375,56,73939969,4,0,19,542.5,41.817466735839844
40368,1261,16,10,40,5,1,2,0,1550,5075,327.79931640625,59,5258889,1,3,10,542.5,17.700674057006836
40373,1261,21,28,124,1,1,4,0,4275,4796,327.97119140625,56,6306971,1,8,11,542.5,21.435049057006836
40508,1265,28,10,40,6,1,2,0,1535,5101,437.1058349609375,59,5259017,1,3,16,542.5,17.769166946411133
40517,1266,5,33,201,2,3,4,1,6226,6965,430.74298095703125,56,39861536,3,8,1,542.5,31.16325569152832
40545,1267,1,27,123,1,1,4,0,4245,4796,462.4127197265625,56,6306970,1,8,6,542.5,21.368515014648438
40560,1267,16,1,273,0,5,5,2,8405,9274,453.7498779296875,56,73939968,4,0,17,542.5,41.750125885009766
40564,1267,20,23,79,4,3,2,1,2540,7338,-2.27935791015625,122,38813334,3,5,12,542.5,25.904338836669922
40565,1267,21,7,37,0,1,2,0,1460,4770,482.763427734375,59,5258246,1,2,4,542.5,16.64281463623047
40569,1267,25,14,44,3,1,2,0,1655,4848,10.440185546875,122,5258637,1,4,20,542.5,17.091035842895508
40593,1268,17,14,286,4,5,5,2,8810,9699,477.57220458984375,56,73940621,4,3,8,542.5,43.70902633666992
40595,1268,19,32,104,1,5,2,2,3291,9300,14.9356689453125,122,72367263,5,6,8,542.5,32.90810012817383
40596,1268,20,38,110,5,5,2,2,3456,9725,14.1964111328125,122,72367909,5,9,0,542.5,34.428611755371094
40601,1268,25,19,75,2,3,2,1,2405,6965,27.95025634765625,122,38812946,3,4,5,542.5,24.580970764160156
40614,1269,6,17,47,6,1,2,0,1745,5101,44.70367431640625,122,5259024,1,5,15,542.5,17.98383331298828
40641,1270,1,13,43,0,1,2,0,1640,4770,66.95269775390625,122,5258252,1,4,4,542.5,16.82855987548828
40644,1270,4,17,47,7,1,2,0,1760,5127,68.0428466796875,122,5259152,1,5,21,542.5,18.082151412963867
40647,1270,7,18,74,1,3,2,1,2390,6939,63.98614501953125,122,38812817,3,4,11,542.5,24.482616424560547
40647,1270,7,10,66,2,3,2,1,2135,6965,539.1671752929688,59,38812937,3,2,3,542.5,24.30157470703125
40683,1271,11,24,80,5,3,2,1,2555,7364,90.59100341796875,122,38813463,3,5,2,542.5,26.002723693847656
40685,1271,13,32,104,0,5,2,2,3276,9274,85.3466796875,122,72367135,5,6,16,542.5,32.809600830078125
40695,1271,23,33,105,2,5,2,2,3306,9326,92.962158203125,122,72367392,5,8,1,542.5,33.00660705566406
40703,1271,31,36,132,5,1,4,0,4531,5075,584.524658203125,56,6307491,1,11,11,542.5,22.6940975189209
40710,1272,6,23,79,3,3,2,1,2525,7312,111.88153076171875,122,38813206,3,5,20,542.5,25.80596923828125
40732,1272,28,37,109,4,5,2,2,3441,9699,120.544921875,122,72367780,5,9,14,542.5,34.3300895690918
40747,1273,11,19,91,2,5,2,2,2885,9326,609.0289306640625,59,72367378,5,4,5,542.5,32.564823150634766
40824,1275,24,6,214,5,3,5,1,6635,7364,668.6847534179688,56,40386309,2,1,0,542.5,33.065269470214844
40837,1276,5,16,46,5,1,2,0,1730,5075,219.02069091796875,122,5258895,1,5,10,542.5,17.885534286499023
40869,1277,5,18,74,0,3,2,1,2375,6913,237.52197265625,122,38812689,3,4,19,542.5,24.384275436401367
40934,1279,6,14,44,1,1,2,0,1655,4796,295.7606201171875,122,5258381,1,4,8,542.5,16.926908493041992
40999,1281,7,2,2,3,3,1,1,195,7312,14.068115234375,135,38288897,2,1,19,542.5,24.400606155395508
40999,1281,7,37,109,3,5,2,2,3426,9673,329.2371826171875,122,72367652,5,9,22,542.5,34.23157501220703
41010,1281,18,5,5,5,5,1,2,285,9725,14.607666015625,135,71843588,4,1,6,542.5,32.4548454284668
41050,1282,26,2,2,5,3,1,1,195,7364,53.7384033203125,135,38289153,2,1,3,542.5,24.574071884155273
41053,1282,29,4,4,1,5,1,2,270,9300,49.6201171875,135,71842947,4,0,15,542.5,31.036104202270508
41058,1283,2,5,5,3,5,1,2,285,9673,52.2811279296875,135,71843332,4,1,22,542.5,32.281394958496094
41076,1283,20,1,1,1,3,1,1,180,6939,75.46966552734375,135,38288512,2,0,9,542.5,23.155363082885742
41227,1288,11,13,43,2,1,2,0,1640,4822,524.6010131835938,122,5258508,1,4,16,542.5,16.99275016784668
41369,1292,25,16,46,4,1,2,0,1715,5048,634.7440185546875,122,5258767,1,5,4,542.5,17.787256240844727
41390,1293,14,17,47,4,1,2,0,1745,5048,651.1177368164062,122,5258768,1,5,3,542.5,17.819740295410156
41418,1294,10,2,2,2,3,1,1,195,6965,342.56903076171875,135,38288641,2,0,3,542.5,23.243444442749023
41515,1297,11,4,4,0,5,1,2,255,9274,410.64581298828125,135,71842819,4,0,23,542.5,30.947959899902344
41568,1299,0,2,2,0,3,1,1,195,6913,459.92999267578125,135,38288385,2,0,19,542.5,23.06998634338379
41653,1301,21,4,4,2,5,1,2,255,9326,518.2848510742188,135,71843075,4,0,7,542.5,31.121421813964844
41660,1301,28,4,4,4,5,1,2,270,9699,522.50830078125,135,71843459,4,1,15,542.5,32.3666877746582
41699,1303,3,2,2,4,3,1,1,210,7338,560.8550415039062,135,38289025,2,1,11,542.5,24.48872184753418
41723,1303,27,52,52,4,3,1,1,1711,7338,3.9578857421875,46,38289075,2,13,15,542.5,25.135833740234375
41725,1303,29,2,58,0,3,2,1,1895,6913,6.74481201171875,46,38812673,3,0,19,542.5,23.911462783813477
41785,1305,25,6,36,6,1,2,0,1415,5101,59.8734130859375,46,5259013,1,1,17,542.5,17.657838821411133
41790,1305,30,3,33,2,1,2,0,1340,4822,64.74041748046875,46,5258498,1,0,12,542.5,16.697099685668945
41796,1306,4,6,62,5,3,2,1,2015,7364,60.656494140625,46,38813445,3,1,0,542.5,25.468524932861328
41798,1306,6,10,82,5,5,2,2,2615,9725,54.0941162109375,46,72367881,5,3,3,542.5,33.5933952331543
41833,1307,9,3,33,1,1,2,0,1325,4796,98.43115234375,46,5258370,1,0,6,542.5,16.60011100769043
41837,1307,13,6,78,0,5,2,2,2495,9274,86.11993408203125,46,72367109,5,0,20,542.5,32.03630065917969
41847,1307,23,5,35,5,1,2,0,1400,5075,108.40789794921875,46,5258884,1,1,9,542.5,17.56085968017578
41849,1307,25,6,78,1,5,2,2,2510,9300,95.39813232421875,46,72367237,5,0,12,542.5,32.13311004638672
41862,1308,6,5,61,4,3,2,1,2000,7338,112.31585693359375,46,38813316,3,1,14,542.5,25.37162971496582
41903,1309,15,9,81,4,5,2,2,2600,9699,136.22216796875,46,72367752,5,3,9,542.5,33.496612548828125
42016,1313,0,2,58,1,3,2,1,1910,6939,233.9915771484375,46,38812801,3,0,11,542.5,24.00839614868164
42103,1315,23,5,35,4,1,2,0,1385,5048,308.50482177734375,46,5258756,1,1,3,542.5,17.463916778564453
42153,1317,9,6,36,7,1,2,0,1430,5127,347.2763671875,46,5259141,1,1,23,542.5,17.754854202270508
42175,1317,31,4,34,3,1,2,0,1355,4848,365.42462158203125,46,5258627,1,0,23,542.5,16.794126510620117
42196,1318,20,6,102,0,1,4,0,3630,4770,3.6278076171875,94,6306821,1,0,3,542.5,19.997173309326172
42203,1318,27,15,111,6,1,4,0,3885,5101,7.70465087890625,94,6307598,1,5,14,542.5,21.389089584350586
42206,1318,30,13,181,5,3,4,1,5625,7364,0.52532958984375,94,39862028,3,3,6,542.5,30.912195205688477
42282,1321,10,14,110,5,1,4,0,3870,5075,69.52276611328125,94,6307469,1,5,6,542.5,21.289718627929688
42296,1321,24,3,171,2,3,4,1,5325,6965,72.5037841796875,94,39861506,3,0,5,542.5,29.246225357055664
42308,1322,4,7,103,1,1,4,0,3645,4796,91.0284423828125,94,6306950,1,2,10,542.5,20.096559524536133
42310,1322,6,12,180,4,3,4,1,5610,7338,81.8746337890625,94,39861899,3,3,15,542.5,30.812841415405273
42321,1322,17,2,32,0,1,2,0,1310,4770,479.778076171875,46,5258241,1,0,2,542.5,16.50316047668457
42321,1322,17,15,111,7,1,4,0,3900,5127,99.79278564453125,94,6307726,1,5,20,542.5,21.488468170166016
42329,1322,25,29,229,0,5,4,2,7065,9274,88.639404296875,94,73415708,5,6,22,542.5,38.89186096191406
42342,1323,6,39,239,3,5,4,2,7366,9673,97.129638671875,94,73416230,5,9,20,542.5,40.5578498840332
42359,1323,23,7,79,2,5,2,2,2525,9326,493.73883056640625,46,72367366,5,0,2,542.5,32.22993850708008
42374,1324,6,2,58,2,3,2,1,1895,6965,513.608642578125,46,38812929,3,0,3,542.5,24.078859329223633
42421,1325,21,5,61,3,3,2,1,1985,7312,549.1314697265625,46,38813188,3,1,22,542.5,25.27475929260254
42428,1325,28,14,110,4,1,4,0,3855,5048,183.68463134765625,94,6307341,1,5,0,542.5,21.19035530090332
42440,1326,8,2,170,1,3,4,1,5310,6939,185.1031494140625,94,39861377,3,0,11,542.5,29.146875381469727
42474,1327,10,12,180,3,3,4,1,5595,7312,210.0989990234375,94,39861771,3,3,23,542.5,30.713491439819336
42494,1327,30,7,103,2,1,4,0,3660,4822,236.2415771484375,94,6307078,1,2,16,542.5,20.195951461791992
42497,1328,1,29,229,1,5,4,2,7080,9300,219.7900390625,94,73415836,5,6,14,542.5,38.99123764038086
42516,1328,20,39,239,4,5,4,2,7381,9699,232.9677734375,94,73416358,5,9,12,542.5,40.6572265625
42538,1329,10,9,81,3,5,2,2,2585,9673,632.4126586914062,46,72367624,5,3,17,542.5,33.399845123291016
42697,1334,9,9,105,3,1,4,0,3705,4848,394.67523193359375,94,6307208,1,2,18,542.5,20.35602569580078
42716,1334,28,2,170,0,3,4,1,5295,6913,400.82745361328125,94,39861249,3,0,19,542.5,29.047531127929688
42729,1335,9,6,36,4,1,2,0,1415,5048,22.54058837890625,8,5258757,1,1,5,542.5,17.49068832397461
42732,1335,12,3,33,2,1,2,0,1340,4822,25.67791748046875,8,5258498,1,0,12,542.5,16.697099685668945
42735,1335,15,7,63,3,3,2,1,2045,7312,19.3907470703125,8,38813190,3,1,20,542.5,25.327993392944336
