 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 1007  34368   1    1        0      0.415697604418   961.132995605  20      0       5            2180    2922    3214    4224    20904  
 1008  34400   1    1        0      0.467575162649   978.156433105  20      0       5            2481    3293    3653    4768    7113   
 1030  35104   1    1        0      0.67437005043    855.642456055  20      0       5            3709    4954    5438    7156    641    
 1047  35648   2    1        0      0.209091708064   559.586303711  20      1       2            1076    1434    0       2112    1424   
 1047  35648   2    1        1      1.01887583733    781.0546875    20      0       1            6145    8231    9012    0       24214  
 1050  35744   1    1        0      1.04791224003    876.229980469  20      0       5            6372    8436    9320    12079   10193  
 1066  36256   1    1        0      0.522180855274   609.304748535  20      0       5            2791    3706    4051    5280    14369  
 1071  36416   1    1        0      0.81117773056    737.704956055  20      0       5            4608    6144    6731    8809    24712  
 1073  36480   1    1        0      0.537380754948   609.297424316  20      0       5            2871    3839    4210    5454    5324   
 1075  36544   1    1        0      0.297681301832   609.484863281  20      1       5            1547    2086    2298    3072    423    
 1080  36704   1    1        0      0.200640127063   738.005249023  20      0       5            1025    1355    1487    1908    18337  
 1123  38080   1    1        0      0.102867156267   559.575378418  20      0       5            537     704     757     926     7195   
 1132  38368   1    1        0      0.346986293793   755.070983887  20      0       5            1797    2377    2616    3378    14007  
 1183  40000   1    1        0      0.234557539225   559.504699707  20      0       2            1215    1620    0       2282    11677  
 1185  40064   1    1        0      0.23438154161    837.345397949  20      1       2            1215    1620    0       2358    23790  
 1200  40544   1    1        0      0.20900914073    677.499145508  20      0       5            1091    1434    1567    1993    21696  
 1239  41792   1    1        0      0.595820128918   918.854492188  20      0       5            3231    4276    4675    6055    4258   
 1260  42464   1    1        0      0.494256526232   622.213012695  20      1       5            2629    3505    3892    5156    18804  
 1271  42816   1    1        0      0.330471783876   931.635742188  20      1       5            1716    2298    2536    3327    23697  
 1280  43104   1    1        0      0.69228720665    661.187194824  20      0       5            3819    5073    5585    7390    15325  
 1282  43168   1    1        0      1.00492501259    927.764099121  20      0       1            6027    8034    8770    0       24498  
 1284  43232   1    1        0      0.975450634956   750.704162598  20      1       3            5806    0       8558    11409   21959  
 1294  43552   1    1        0      0.120075374842   677.471740723  20      1       5            611     836     942     1296    7942   
 1309  44032   1    1        0      0.883906722069   841.783874512  20      0       5            5121    6849    7466    9757    14150  
 1312  44128   1    1        0      0.451366066933   772.403564453  20      1       5            2393    3227    3600    4839    19231  
 1327  44608   1    1        0      0.778561770916   824.443725586  20      1       2            4393    5894    0       8622    23077  
 1418  47520   1    1        0      0.667417168617   661.267211914  20      0       5            3665    4848    5335    7088    20562  
 1451  48576   1    1        0      0.54063564539    768.057861328  20      1       5            2901    3892    4263    5649    11127  
 1454  48672   1    1        0      0.187872096896   746.40032959   20      1       5            966     1302    1408    1908    3908   
 1465  49024   1    1        0      0.463730275631   794.073913574  20      1       5            2459    3267    3614    4821    15014  
 1504  50272   1    1        0      0.810918748379   703.174133301  20      0       5            4601    6173    6761    8877    12847  
 1519  50752   2    1        0      0.314329832792   1003.06298828  20      0       5            1632    2139    2324    2970    21025  
 1519  50752   2    1        1      0.888921976089   846.017211914  20      0       3            5159    0       7511    9740    21467  
 1542  51488   1    1        0      0.204862445593   969.680969238  20      0       5            1047    1395    1540    2010    3267   
 1543  51520   1    1        0      0.928004980087   1002.91656494  20      1       5            5417    7319    8019    10652   24577  
 1554  51872   1    1        0      0.313979834318   798.39239502   20      0       5            1635    2165    2377    3038    19085  
 1562  52128   1    1        0      0.375955730677   729.364196777  20      1       2            1951    2616    0       3918    13540  
 1569  52352   1    1        0      0.832563459873   867.535522461  20      0       5            4755    6364    6952    9217    16582  
 1574  52512   1    1        0      0.486787289381   622.124389648  20      1       5            2583    3439    3812    5068    16940  
 1590  53024   1    1        0      0.824256002903   613.485717773  20      1       5            4703    6320    6923    9251    2149   
