 ToA     coarse_time  fine_time  Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_time  event  muonFixedId  csm  mezz  channel  t0     TOF            
 1974    40           0          3            165                3           1          0             5560    4822      850.0       17614  7355650      1    0     12       817.0  24.5516357422  
 1982    40           8          1            163                1           1          0             5500    4770      856.25      17614  7355392      1    0     4        817.0  24.286567688   
 1991    40           17         9            257                1           3          1             7945    6913      863.28125   17614  40909832     3    2     17       817.0  35.131023407   
 2007    41           1          14           358                6           5          2             10975   9725      875.78125   17614  74465037     5    3     0        817.0  48.9154129028  
 2027    41           21         11           259                3           3          1             8005    6965      891.40625   17614  40910090     3    2     5        817.0  35.3960914612  
 2028    41           22         24           272                5           3          1             8410    7338      892.1875    17614  40910487     3    5     10       817.0  37.2332763672  
 2062    42           24         71           343                2           5          2             10522   9300      918.75      17614  73940166     4    16    10       817.0  46.8442077637  
 2084    43           14         15           177                8           1          0             5920    5127      935.9375    17614  7356302      1    5     20       817.0  26.1244487762  
 2096    43           26         13           175                6           1          0             5860    5075      945.3125    17614  7356044      1    5     7        817.0  25.859380722   
 2098    43           28         12           356                4           5          2             10915   9673      946.875     17614  74464779     5    3     23       817.0  48.6503639221  
 2099    43           29         12           174                5           1          0             5815    5048      947.65625   17614  7355915      1    3     5        817.0  25.6890010834  
 2104    44           2          14           176                7           1          0             5875    5101      951.5625    17614  7356173      1    5     12       817.0  25.9540672302  
 2166    46           0          71           343                1           5          2             10507   9274      1000.0      17614  73940038     4    16    18       817.0  46.7492256165  
 2215    47           17         24           272                4           3          1             8395    7312      1038.28125  17614  40910359     3    5     18       817.0  37.1385002136  
 2263    49           1          13           357                5           5          2             10960   9699      1075.78125  17614  74464908     5    3     14       817.0  48.8203887939  
 2288    49           26         9            257                2           3          1             7960    6939      1095.3125   17614  40909960     3    2     9        817.0  35.2257843018  
 2297    50           3          2            164                2           1          0             5515    4796      1102.34375  17614  7355521      1    0     8        817.0  24.3812828064  
 2312    50           18         26           274                6           3          1             8455    7364      1114.0625   17614  40910617     3    7     3        817.0  37.4035682678  
 2323    50           29         4            166                4           1          0             5575    4848      1122.65625  17614  7355779      1    0     23       817.0  24.6463508606  
 2336    51           10         23           271                4           3          1             8365    7312      1132.8125   17614  40910358     3    5     20       817.0  37.0630111694  
 2378    52           20         5            167                4           1          0             5605    4848      1165.625    17614  7355780      1    0     21       817.0  24.7220306396  
 2410    53           20         3            165                2           1          0             5545    4796      1190.625    17614  7355522      1    0     6        817.0  24.4569644928  
 2458    55           4          25           273                6           3          1             8425    7364      1228.125    17614  40910616     3    7     1        817.0  37.3280754089  
 2501    56           15         72           344                3           5          2             10537   9326      1261.71875  17614  73940295     4    16    0        817.0  46.9392127991  
 2524    57           6          10           258                2           3          1             7990    6939      1279.6875   17614  40909961     3    2     11       817.0  35.3013648987  
 2559    58           9          24           54                 2           1          0             1955    4796      857.03125   12777  5258391      1    6     9        817.0  17.279712677   
 2568    58           18         31           87                 1           3          1             2766    6913      864.0625    12777  38812702     3    6     18       817.0  24.8380813599  
 2580    58           30         27           57                 6           1          0             2060    5075      873.4375    12777  5258906      1    9     8        817.0  18.2710132599  
 2597    59           15         36           92                 4           3          1             2916    7312      886.71875   12777  38813219     3    9     23       817.0  26.2600498199  
 2599    59           17         28           58                 7           1          0             2075    5101      888.28125   12777  5259035      1    9     16       817.0  18.3702526093  
 2618    60           4          44           116                1           5          2             3636    9274      903.125     12777  72367147     5    10    23       817.0  33.2293663025  
 2619    60           5          10           10                 3           3          1             435     6965      878.90625   4195   38288649     2    2     3        817.0  23.279668808   
 2632    60           18         23           53                 1           1          0             1940    4770      914.0625    12777  5258262      1    6     1        817.0  17.1804637909  
 2643    60           29         12           356                5           5          2             10930   9699      1372.65625  17614  74464907     5    3     15       817.0  48.7454071045  
 2646    61           0          14           14                 2           5          2             570     9300      900.0       4195   71842957     4    2     12       817.0  31.0813274384  
 2659    61           13         70           342                1           5          2             10477   9274      1385.15625  17614  73940037     4    16    20       817.0  46.6741600037  
 2679    62           1          24           54                 3           1          0             1970    4822      950.78125   12777  5258519      1    6     15       817.0  17.3789730072  
 2717    63           7          10           10                 1           3          1             435     6913      955.46875   4195   38288393     2    2     19       817.0  23.1064815521  
 2724    63           14         31           87                 2           3          1             2781    6939      985.9375    12777  38812830     3    6     10       817.0  24.93724823    
 2730    63           20         27           57                 5           1          0             2045    5048      990.625     12777  5258778      1    9     2        817.0  18.1717815399  
 2740    63           30         15           15                 5           5          2             600     9699      973.4375    4195   71843470     4    3     12       817.0  32.4160919189  
 2768    64           26         28           58                 8           1          0             2090    5127      1020.3125   12777  5259163      1    9     22       817.0  18.4695034027  
 2773    64           31         11           11                 6           3          1             465     7364      999.21875   4195   38289162     2    3     5        817.0  24.6144523621  
 2773    64           31         36           92                 5           3          1             2931    7338      1024.21875  12777  38813347     3    9     15       817.0  26.3592014313  
 2788    65           14         10           10                 5           3          1             450     7338      1010.9375   4195   38289033     2    3     11       817.0  24.5247421265  
 2820    66           14         44           116                2           5          2             3651    9300      1060.9375   12777  72367275     5    10    15       817.0  33.3284339905  
 2821    66           15         15           177                7           1          0             5905    5101      1511.71875  17614  7356174      1    5     14       817.0  26.0298023224  
 2828    66           22         49           121                4           5          2             3786    9673      1067.1875   12777  72367664     5    13    17       817.0  34.6514930725  
 2850    67           12         15           15                 4           5          2             585     9673      1059.375    4195   71843342     4    3     20       817.0  32.3264274597  
 2928    69           26         25           55                 4           1          0             1985    4848      1145.3125   12777  5258648      1    8     22       817.0  17.4782428741  
 2947    70           13         49           121                6           5          2             3786    9725      1160.15625  12777  72367920     5    13    1        817.0  34.8131408691  
 2973    71           7          11           11                 4           3          1             465     7312      1155.46875  4195   38288906     2    3     21       817.0  24.4412727356  
 3044    73           14         32           88                 3           3          1             2796    6965      1235.9375   12777  38812959     3    6     0        817.0  25.0364227295  
 3077    74           15         15           15                 6           5          2             585     9725      1236.71875  4195   71843598     4    3     4        817.0  32.4996414185  
 3089    74           27         15           15                 3           5          2             585     9326      1246.09375  4195   71843086     4    2     2        817.0  31.1710281372  
 3105    75           11         9            9                  2           3          1             420     6939      1258.59375  4195   38288520     2    2     9        817.0  23.1899909973  
 3153    76           27         37           93                 6           3          1             2946    7364      1321.09375  12777  38813476     3    9     6        817.0  26.4583587646  
 3252    79           30         45           117                3           5          2             3666    9326      1398.4375   12777  72367404     5    10    6        817.0  33.4275054932  
 3276    80           22         49           121                5           5          2             3801    9699      1417.1875   12777  72367792     5    13    9        817.0  34.7505531311  
 3324    82           6          33           33                 6           3          1             1126    7364      1429.6875   4195   38289184     2    9     1        817.0  24.8509922028  
 3384    84           2          15           15                 1           5          2             585     9274      1476.5625   4195   71842830     4    2     18       817.0  30.9978427887  
 4695    125          1          10           178                1           3          1             5535    6913      850.78125   634    39861257     3    2     19       817.0  29.5417289734  
 4748    126          22         39           239                2           5          2             7381    9300      892.1875    634    73415846     5    8     10       817.0  39.6061553955  
 4758    127          0          16           112                4           1          0             3915    4848      900.0       634    6307215      1    4     23       817.0  20.7893028259  
 4759    127          1          39           239                1           5          2             7366    9274      900.78125   634    73415718     5    8     18       817.0  39.5070533752  
 4766    127          8          21           117                5           1          0             4065    5048      906.25      634    6307348      1    7     2        817.0  21.6231594086  
 4769    127          11         16           184                6           3          1             5715    7364      908.59375   634    39862031     3    3     2        817.0  31.0955581665  
 4778    127          20         49           249                4           5          2             7666    9673      915.625     634    73416240     5    13    17       817.0  41.1725273132  
 4816    128          26         10           178                2           3          1             5550    6939      945.3125    634    39861385     3    2     11       817.0  29.6407718658  
 4862    130          8          40           240                3           5          2             7396    9326      981.25      634    73415975     5    8     0        817.0  39.7052574158  
 4885    130          31         22           190                6           3          1             5895    7364      999.21875   634    39862037     3    5     0        817.0  31.4676895142  
 4902    131          16         23           119                8           1          0             4140    5127      1012.5      634    6307734      1    7     21       817.0  21.9830036163  
 4913    131          27         15           111                3           1          0             3900    4822      1021.09375  634    6307086      1    4     12       817.0  20.6903343201  
 4915    131          29         49           249                5           5          2             7681    9699      1022.65625  634    73416368     5    13    9        817.0  41.2716407776  
 4920    132          2          13           109                1           1          0             3840    4770      1026.5625   634    6306828      1    4     4        817.0  20.4294624329  
 4926    132          8          17           185                6           3          1             5745    7364      1031.25     634    39862032     3    5     1        817.0  31.1570835114  
 4954    133          4          21           117                6           1          0             4080    5075      1053.125    634    6307476      1    7     8        817.0  21.7221603394  
 5024    135          10         20           188                4           3          1             5835    7312      1107.8125   634    39861779     3    5     23       817.0  31.207036972   
 5025    135          11         11           179                3           3          1             5565    6965      1108.59375  634    39861514     3    2     5        817.0  29.7398204803  
 5057    136          11         3            165                2           1          0             5545    4796      833.59375   17426  7355522      1    0     6        817.0  24.4569644928  
 5068    136          22         5            167                4           1          0             5605    4848      842.1875    17426  7355780      1    0     21       817.0  24.7220306396  
 5083    137          5          11           173                8           1          0             5800    5127      853.90625   17426  7356298      1    3     21       817.0  25.8228397369  
 5100    137          22         12           260                2           3          1             8050    6939      867.1875    17426  40909963     3    2     15       817.0  35.4528884888  
 5140    138          30         25           369                4           5          2             11305   9673      898.4375    17426  74464792     5    7     17       817.0  49.6326065063  
 5152    139          10         21           189                5           3          1             5880    7338      1207.8125   634    39861908     3    5     14       817.0  31.3686542511  
 5179    140          5          9            353                1           5          2             10825   9274      928.90625   17426  74464264     5    2     17       817.0  47.5492362976  
 5179    140          5          50           250                6           5          2             7696    9725      1228.90625  634    73416497     5    13    3        817.0  41.3707618713  
 5183    140          9          27           371                6           5          2             11365   9725      932.03125   17426  74465050     5    7     5        817.0  49.8976669312  
 5190    140          16         15           177                7           1          0             5905    5101      937.5       17426  7356174      1    5     14       817.0  26.0298023224  
 5197    140          23         27           275                4           3          1             8485    7312      942.96875   17426  40910362     3    7     21       817.0  37.3656692505  
 5198    140          24         23           119                7           1          0             4125    5101      1243.75     634    6307606      1    7     15       817.0  21.8840370178  
 5199    140          25         13           175                5           1          0             5845    5048      944.53125   17426  7355916      1    5     1        817.0  25.7647361755  
 5205    140          31         13           175                6           1          0             5860    5075      949.21875   17426  7356044      1    5     7        817.0  25.859380722   
 5211    141          5          28           276                5           3          1             8530    7338      953.90625   17426  40910491     3    7     15       817.0  37.5361633301  
 5216    141          10         15           177                8           1          0             5920    5127      957.8125    17426  7356302      1    5     20       817.0  26.1244487762  
 5224    141          18         11           355                3           5          2             10885   9326      964.0625    17426  74464522     5    2     5        817.0  47.8143005371  
 5224    141          18         14           176                8           1          0             5890    5127      964.0625    17426  7356301      1    5     18       817.0  26.0487957001  
 5227    141          21         12           174                7           1          0             5815    5101      966.40625   17426  7356171      1    3     17       817.0  25.8030967712  
 5234    141          28         29           277                6           3          1             8545    7364      971.875     17426  40910620     3    7     6        817.0  37.63073349    
 5238    142          0          15           111                2           1          0             3885    4796      1275.0      634    6306958      1    4     6        817.0  20.5913772583  
 5246    142          8          14           110                2           1          0             3855    4796      1281.25     634    6306957      1    4     8        817.0  20.528465271   
 5254    142          16         10           354                2           5          2             10870   9300      987.5       17426  74464393     5    2     11       817.0  47.7198181152  
 5291    143          21         22           118                7           1          0             4095    5101      1316.40625  634    6307605      1    7     16       817.0  21.8211727142  
 5322    144          20         26           370                5           5          2             11350   9699      1040.625    17426  74464921     5    7     11       817.0  49.8032112122  
 5344    145          10         12           356                3           5          2             10915   9326      1057.8125   17426  74464523     5    2     7        817.0  47.890422821   
 5370    146          4          14           262                3           3          1             8095    6965      1078.125    17426  40910093     3    2     4        817.0  35.6233787537  
 5396    146          30         20           188                5           3          1             5850    7338      1398.4375   634    39861907     3    5     15       817.0  31.3061027527  
 5401    147          3          14           176                6           1          0             5890    5075      1102.34375  17426  7356045      1    5     6        817.0  25.9351997375  
 5401    147          3          51           251                6           5          2             7726    9725      1402.34375  634    73416498     5    13    5        817.0  41.4330101013  
 5432    148          2          12           260                1           3          1             8035    6913      1126.5625   17426  40909835     3    2     23       817.0  35.3583145142  
 5445    148          15         1            163                1           1          0             5500    4770      1136.71875  17426  7355392      1    0     4        817.0  24.286567688   
 5445    148          15         15           183                6           3          1             5685    7364      1436.71875  634    39862030     3    3     4        817.0  31.0342330933  
 5454    148          24         4            166                3           1          0             5590    4822      1143.75     17426  7355651      1    0     17       817.0  24.6274032593  
 5475    149          13         3            165                3           1          0             5560    4822      1160.15625  17426  7355650      1    0     12       817.0  24.5516357422  
 5477    149          15         2            164                1           1          0             5530    4770      1161.71875  17426  7355393      1    0     2        817.0  24.3623371124  
 5504    150          10         11           259                1           3          1             8005    6913      1182.8125   17426  40909834     3    2     21       817.0  35.2824287415  
 5506    150          12         21           189                4           3          1             5865    7312      1484.375    634    39861780     3    5     22       817.0  31.2696266174  
 5579    152          21         13           261                3           3          1             8065    6965      1241.40625  17426  40910092     3    2     6        817.0  35.5474967957  
 5621    153          31         13           175                7           1          0             5845    5101      1274.21875  17426  7356172      1    5     13       817.0  25.8784980774  
 5681    155          27         14           176                7           1          0             5875    5101      1321.09375  17426  7356173      1    5     12       817.0  25.9540672302  
 5692    156          6          25           369                5           5          2             11320   9699      1329.6875   17426  74464920     5    7     9        817.0  49.7270851135  
 5725    157          7          12           174                8           1          0             5830    5127      1355.46875  17426  7356299      1    3     23       817.0  25.8979892731  
 5815    160          1          16           178                8           1          0             5950    5127      1425.78125  17426  7356303      1    5     22       817.0  26.2002658844  
 5877    161          31         9            353                2           5          2             10840   9300      1474.21875  17426  74464392     5    2     9        817.0  47.643737793   
 5888    162          10         30           278                6           3          1             8576    7364      1482.8125   17426  40910621     3    7     0        817.0  37.7066841125  
 5898    162          20         27           275                5           3          1             8500    7338      1490.625    17426  40910490     3    7     13       817.0  37.4602661133  
 6296    175          2          8            8                  5           3          1             390     7338      876.5625    20309  38289031     2    1     10       817.0  24.5132846832  
 6314    175          20         8            8                  3           3          1             375     6965      890.625     20309  38288647     2    0     0        817.0  23.2680301666  
 6399    178          9          8            8                  1           3          1             375     6913      957.03125   20309  38288391     2    0     16       817.0  23.0947551727  
 6438    179          16         12           12                 5           5          2             510     9699      987.5       20309  71843467     4    3     15       817.0  32.3989067078  
 6439    179          17         11           11                 2           5          2             480     9300      988.28125   20309  71842954     4    2     13       817.0  31.0643749237  
 6485    180          31         31           175                1           5          2             5426    9274      849.21875   13619  72891422     4    6     18       817.0  35.8418579102  
 6487    181          1          17           129                3           3          1             4045    6965      850.78125   13619  39337232     2    4     1        817.0  26.8688850403  
 6500    181          14         16           128                2           3          1             4030    6939      860.9375    13619  39337103     2    2     8        817.0  26.768699646   
 6505    181          19         16           128                1           3          1             4015    6913      864.84375   13619  39336975     2    2     16       817.0  26.6685142517  
 6509    181          23         14           158                3           5          2             4915    9326      867.96875   13619  72891661     4    2     4        817.0  35.1660919189  
 6511    181          25         12           12                 3           5          2             495     9326      1044.53125  20309  71843083     4    2     7        817.0  31.1536407471  
 6516    181          30         31           175                2           5          2             5441    9300      873.4375    13619  72891550     4    6     10       817.0  35.9420433044  
 6521    182          3          22           166                2           5          2             5170    9300      877.34375   13619  72891541     4    4     12       817.0  35.495262146   
 6522    182          4          39           183                4           5          2             5666    9673      878.125     13619  72891942     4    9     20       817.0  37.3955307007  
 6525    182          7          12           12                 4           5          2             495     9673      1055.46875  20309  71843339     4    3     23       817.0  32.3096618652  
 6533    182          15         32           176                3           5          2             5456    9326      886.71875   13619  72891679     4    6     0        817.0  36.042224884   
 6537    182          19         39           183                5           5          2             5681    9699      889.84375   13619  72892070     4    9     12       817.0  37.4957122803  
 6543    182          25         22           166                1           5          2             5155    9274      894.53125   13619  72891413     4    4     20       817.0  35.3950881958  
 6555    183          5          40           184                6           5          2             5696    9725      903.90625   13619  72892199     4    9     2        817.0  37.5958976746  
 6581    183          31         35           203                3           3          1             6286    6965      849.21875   1300   39861538     3    8     5        817.0  31.2971458435  
 6586    184          4          25           137                6           3          1             4285    7364      928.125     13619  39337752     2    7     1        817.0  28.422492981   
 6595    184          13         24           136                5           3          1             4270    7338      935.15625   13619  39337623     2    5     10       817.0  28.3223075867  
 6599    184          17         1            133                5           1          0             4565    5048      863.28125   1300   6831616      0    1     1        817.0  22.7048149109  
 6606    184          24         6            214                4           3          1             6635    7312      868.75      1300   40386053     2    1     16       817.0  32.9365539551  
 6607    184          25         16           82                 4           1          0             2815    4848      944.53125   13619  5782927      0    4     23       817.0  18.7032814026  
 6607    184          25         36           204                3           3          1             6316    6965      869.53125   1300   39861539     3    8     7        817.0  31.3643569946  
 6608    184          26         24           136                4           3          1             4255    7312      945.3125    13619  39337495     2    5     18       817.0  28.2221221924  
 6609    184          27         14           80                 1           1          0             2770    4770      946.09375   13619  5782541      0    4     2        817.0  18.4027252197  
 6610    184          28         5            277                3           5          2             8525    9326      871.875     1300   73940228     4    0     6        817.0  42.1482009888  
 6610    184          28         15           81                 2           1          0             2785    4796      946.875     13619  5782670      0    4     6        817.0  18.502910614   
 6612    184          30         15           81                 3           1          0             2800    4822      948.4375    13619  5782798      0    4     12       817.0  18.6030960083  
 6626    185          12         3            135                8           1          0             4640    5127      884.375     1300   6832002      0    1     20       817.0  23.0658683777  
 6629    185          15         13           157                1           5          2             4885    9274      961.71875   13619  72891404     4    2     22       817.0  34.9658699036  
 6639    185          25         30           126                2           1          0             4336    4796      894.53125   1300   6306973      1    8     9        817.0  21.5688972473  
 6657    186          11         29           125                1           1          0             4320    4770      908.59375   1300   6306844      1    8     1        817.0  21.4709510803  
 6660    186          14         16           288                4           5          2             8855    9673      910.9375    1300   73940495     4    3     18       817.0  43.7461738586  
 6663    186          17         8            152                4           5          2             4735    9673      988.28125   13619  72891911     4    1     18       817.0  35.9258728027  
 6669    186          23         12           12                 1           5          2             495     9274      1167.96875  20309  71842827     4    2     23       817.0  30.9803600311  
 6671    186          25         12           12                 6           5          2             495     9725      1169.53125  20309  71843595     4    3     7        817.0  32.482963562   
 6674    186          28         21           165                3           5          2             5125    9326      996.875     13619  72891668     4    4     6        817.0  35.4984931946  
 6702    187          24         23           167                3           5          2             5185    9326      1018.75     13619  72891670     4    4     2        817.0  35.5954360962  
 6709    187          31         16           288                5           5          2             8870    9699      949.21875   1300   73940623     4    3     10       817.0  43.8439979553  
 6738    188          28         7            7                  2           3          1             360     6939      1221.875    20309  38288518     2    0     10       817.0  23.1787414551  
 6750    189          8          13           157                2           5          2             4900    9300      1056.25     13619  72891532     4    2     14       817.0  35.0659790039  
 6795    190          21         24           168                1           5          2             5215    9274      1091.40625  13619  72891415     4    4     16       817.0  35.4928779602  
 6796    190          22         32           128                4           1          0             4396    4848      1017.1875   1300   6307231      1    10    20       817.0  21.8320140839  
 6798    190          24         9            9                  6           3          1             405     7364      1268.75     20309  38289160     2    3     1        817.0  24.6026287079  
 6806    191          0          35           203                2           3          1             6301    6939      1025.0      1300   39861410     3    8     13       817.0  31.2664413452  
 6812    191          6          20           86                 5           1          0             2935    5048      1104.6875   13619  5783059      0    7     0        817.0  19.4815444946  
 6814    191          8          3            275                1           5          2             8465    9274      1031.25     1300   73939970     4    0     21       817.0  41.8849411011  
 6814    191          8          20           86                 6           1          0             2950    5075      1106.25     13619  5783187      0    7     6        817.0  19.5817298889  
 6815    191          9          21           87                 8           1          0             2980    5127      1107.03125  13619  5783444      0    7     20       817.0  19.7821006775  
 6817    191          11         21           87                 7           1          0             2965    5101      1108.59375  13619  5783316      0    7     14       817.0  19.6819152832  
 6824    191          18         22           166                3           5          2             5155    9326      1114.0625   13619  72891669     4    4     4        817.0  35.5468559265  
 6829    191          23         8            216                6           3          1             6695    7364      1042.96875  1300   40386311     2    1     2        817.0  33.1997261047  
 6831    191          25         1            133                6           1          0             4580    5075      1044.53125  1300   6831744      0    1     7        817.0  22.802778244   
 6845    192          7          6            214                5           3          1             6650    7338      1055.46875  1300   40386181     2    1     8        817.0  33.0344772339  
 6855    192          17         3            135                7           1          0             4625    5101      1063.28125  1300   6831874      0    1     14       817.0  22.9679336548  
 6866    192          28         4            276                2           5          2             8510    9300      1071.875    1300   73940099     4    0     15       817.0  42.0503692627  
 6880    193          10         34           202                1           3          1             6256    6913      1082.8125   1300   39861281     3    8     19       817.0  31.101228714   
 6902    194          0          24           136                6           3          1             4255    7364      1175.0      13619  39337751     2    5     2        817.0  28.3722324371  
 6907    194          5          30           126                3           1          0             4351    4822      1103.90625  1300   6307101      1    8     15       817.0  21.6668624878  
 6922    194          20         39           207                2           3          1             6421    6939      865.625     2118   39861414     3    8     10       817.0  31.5372333527  
 6949    195          15         62           62                 1           5          2             1997    9274      886.71875   1424   71842877     4    14    20       817.0  31.6453895569  
 6956    195          22         25           25                 6           1          0             1080    5075      892.1875    1424   4734616      0    9     7        817.0  17.3080768585  
 6957    195          23         9            281                2           5          2             8660    9300      892.96875   2118   73940104     4    2     9        817.0  42.3901405334  
 6966    196          0          65           65                 4           5          2             2087    9673      900.0       1424   71843392     4    17    17       817.0  33.0099563599  
 6967    196          1          32           128                1           1          0             4411    4770      900.78125   2118   6306847      1    10    2        817.0  21.6738586426  
 6975    196          9          6            138                8           1          0             4730    5127      907.03125   2118   6832005      0    1     23       817.0  23.2686157227  
 6977    196          11         6            138                7           1          0             4715    5101      908.59375   2118   6831877      0    1     17       817.0  23.1708889008  
 6981    196          15         33           129                2           1          0             4426    4796      911.71875   2118   6306976      1    10    6        817.0  21.7715835571  
 6981    196          15         45           45                 3           3          1             1486    6965      911.71875   1424   38288684     2    10    6        817.0  23.7575645447  
 6985    196          19         23           223                2           5          2             6900    9300      864.84375   19928  73415830     5    4     10       817.0  38.6300621033  
 6986    196          20         11           107                7           1          0             3765    5101      865.625     19928  6307594      1    3     15       817.0  21.1486644745  
 6988    196          22         47           47                 5           3          1             1561    7338      917.1875    1424   38289070     2    11    12       817.0  25.0267963409  
 6990    196          24         12           220                6           3          1             6815    7364      918.75      2118   40386315     2    3     7        817.0  33.4706115723  
 6993    196          27         11           219                5           3          1             6800    7338      921.09375   2118   40386186     2    3     13       817.0  33.3729171753  
 7002    197          4          5            173                4           3          1             5385    7312      878.125     19928  39861764     3    1     22       817.0  30.2924404144  
 7007    197          9          23           295                6           5          2             9065    9725      932.03125   2118   73940758     4    5     4        817.0  44.3495140076  
 7012    197          14         22           294                5           5          2             9050    9699      935.9375    2118   73940629     4    5     8        817.0  44.2518959045  
 7014    197          16         23           23                 3           1          0             1020    4822      937.5       1424   4734230      0    6     13       817.0  16.4440174103  
 7015    197          17         24           24                 4           1          0             1035    4848      938.28125   1424   4734359      0    6     19       817.0  16.5393009186  
 7026    197          28         5            173                5           3          1             5400    7338      896.875     19928  39861892     3    1     14       817.0  30.3920097351  
 7043    198          13         33           233                4           5          2             7186    9673      910.15625   19928  73416224     5    9     17       817.0  40.1965141296  
 7044    198          14         4            136                5           1          0             4655    5048      960.9375    2118   6831619      0    1     4        817.0  22.9074707031  
 7045    198          15         18           290                6           5          2             8915    9725      1211.71875  1300   73940753     4    5     3        817.0  44.009475708   
 7045    198          15         53           165                3           3          1             5126    6965      911.71875   19928  39337268     2    12    6        817.0  28.8493766785  
 7046    198          16         43           43                 1           3          1             1426    6913      837.5       3267   38288426     2    10    21       817.0  23.546579361   
 7048    198          18         35           131                4           1          0             4486    4848      964.0625    2118   6307234      1    10    21       817.0  22.0350131989  
 7053    198          23         45           45                 4           3          1             1486    7312      842.96875   3267   38288940     2    11    22       817.0  24.8908367157  
 7055    198          25         23           23                 1           1          0             1020    4770      969.53125   1424   4733974      0    6     1        817.0  16.2742900848  
 7062    199          0          48           48                 6           3          1             1576    7364      975.0       1424   38289199     2    11    2        817.0  25.1221046448  
 7065    199          3          9            281                1           5          2             8645    9274      977.34375   2118   73939976     4    2     17       817.0  42.2925109863  
 7067    199          5          46           46                 6           3          1             1516    7364      853.90625   3267   38289197     2    11    0        817.0  25.0809230804  
 7068    199          6          44           44                 2           3          1             1471    6939      979.6875    1424   38288555     2    10    15       817.0  23.6622753143  
 7072    199          10         24           24                 6           1          0             1050    5075      857.8125    3267   4734615      0    7     11       817.0  17.2874851227  
 7072    199          10         40           208                3           3          1             6436    6965      982.8125    2118   39861543     3    8     0        817.0  31.6349449158  
 7080    199          18         2            98                 1           1          0             3510    4770      939.0625    19928  6306817      1    0     2        817.0  19.7570819855  
 7084    199          22         24           224                3           5          2             6915    9326      942.1875    19928  73415959     5    4     0        817.0  38.7295875549  
 7085    199          23         23           223                1           5          2             6885    9274      942.96875   19928  73415702     5    4     18       817.0  38.5305366516  
 7088    199          26         61           61                 4           5          2             1967    9673      870.3125    3267   71843388     4    15    22       817.0  32.9277648926  
 7096    200          2          9            9                  4           3          1             405     7312      1501.5625   20309  38288904     2    3     17       817.0  24.4293651581  
 7103    200          9          25           25                 5           1          0             1065    5048      1007.03125  1424   4734488      0    9     1        817.0  17.212808609   
 7112    200          18         17           289                6           5          2             8885    9725      1264.0625   1300   73940752     4    5     1        817.0  43.9418373108  
